1; Draft.Scratch_smt_check_7_29605; 2026-04-10 13:47:14.305;
and: 158000,207000,187000,
bind: 313000,668000,614000,255000,
cong: 129000,142000,141000,185000,142000,137000,201000,
refl: 51000,206000,181000,
symm: 273000,486000,
trans: 347000,281000,295000,462000,466000,
equiv1: 234000,
equiv2: 272000,
or_pos: 375000,
implies: 320000,
not_not: 265000,
parsing: 5211000,
subproof: 2295000,
equiv_pos2: 282000,168000,169000,312000,118000,190000,
reordering: 466000,523000,
resolution: 323000,408000,439000,316000,330000,476000,431000,418000,372000,462000,651000,520000,532000,290000,384000,
contraction: 470000,
forall_inst: 2038000,1460000,
implies_neg1: 389000,
implies_neg2: 426000,
__local_input: 126000,
equiv_simplify: 571000,393000,
__normalized_input: 2174000,2286000,1553000,1291000,1208000,705000,1027000,
rare_rewrite_eq-symm: 278000,373000,277000,209000,
rare_rewrite_bool-impl-elim: 16744000,

