1; Draft.Scratch_smt_check_7_13742; 2026-04-10 13:44:56.028;
bind: 395000,395000,
cong: 123000,120000,103000,143000,
symm: 112000,
trans: 257000,
implies: 321000,
parsing: 2498000,
subproof: 2196000,
equiv_pos2: 141000,279000,279000,
reordering: 483000,
resolution: 270000,389000,446000,527000,552000,282000,453000,
contraction: 500000,
forall_inst: 1345000,
implies_neg1: 514000,
implies_neg2: 390000,
__local_input: 133000,
__normalized_input: 1148000,929000,989000,
rare_rewrite_eq-symm: 315000,268000,270000,

