1; Draft.Scratch_smt_check_7_13989; 2026-04-10 13:43:45.145;
and: 111000,109000,115000,
bind: 265000,364000,265000,272000,
cong: 150000,253000,89000,271000,
refl: 67000,47000,51000,
symm: 102000,130000,
trans: 146000,
choice: 72000,
equiv1: 243000,
equiv2: 135000,120000,
or_neg: 251000,284000,239000,202000,214000,
or_pos: 302000,350000,262000,309000,
and_pos: 157000,200000,171000,170000,168000,163000,
implies: 194000,247000,
not_and: 248000,
not_not: 140000,
parsing: 28052000,
evaluate: 279000,
subproof: 2039000,2006000,2063000,
and_intro: 217000,
equiv_neg1: 59000,
equiv_neg2: 55000,
equiv_pos1: 95000,90000,
equiv_pos2: 179000,301000,106000,94000,123000,233000,159000,44000,158000,177000,
reordering: 363000,423000,370000,291000,372000,395000,477000,559000,421000,656000,336000,
resolution: 273000,253000,327000,350000,267000,352000,438000,267000,644000,603000,265000,300000,414000,424000,395000,431000,482000,556000,510000,260000,267000,330000,340000,961000,222000,216000,254000,243000,251000,309000,400000,473000,434000,1009000,254000,311000,415000,
sko_forall: 1689000,
contraction: 363000,302000,473000,268000,305000,373000,405000,
forall_inst: 1191000,1299000,1225000,1372000,1236000,1202000,
implies_neg1: 260000,229000,306000,
implies_neg2: 234000,239000,311000,
__local_input: 51000,19000,28000,31000,41000,25000,26000,
equiv_simplify: 263000,271000,
implies_simplify: 356000,
__normalized_input: 2154000,5210000,1101000,4986000,956000,962000,
rare_rewrite_bool-impl-elim: 11562000,11982000,11667000,24627000,
rare_rewrite_bool-double-not-elim: 209000,163000,

