1; Draft.Scratch_smt_check_7_5996; 2026-04-10 13:49:44.480;
bind: 350000,369000,353000,365000,
cong: 130000,98000,83000,63000,43000,53000,52000,53000,89000,53000,47000,59000,41000,79000,104000,92000,54000,49000,57000,131000,107000,84000,57000,48000,35000,58000,57000,49000,79000,57000,
refl: 24000,17000,19000,
symm: 88000,90000,98000,92000,104000,101000,
trans: 300000,145000,301000,
or_pos: 268000,
implies: 285000,
parsing: 3409000,
subproof: 1628000,
equiv_pos2: 203000,51000,84000,184000,
reordering: 372000,
resolution: 260000,330000,284000,258000,309000,414000,442000,263000,382000,
contraction: 425000,
forall_inst: 917000,
implies_neg1: 431000,
implies_neg2: 375000,
__local_input: 168000,
__normalized_input: 9293000,9378000,605000,672000,537000,654000,
rare_rewrite_bool-impl-elim: 6606000,6929000,
rare_rewrite_bool-double-not-elim: 167000,

