1; Draft.Scratch_smt_check_7_30965; 2026-04-10 13:49:45.148;
and: 79000,95000,118000,95000,
bind: 207000,199000,235000,248000,
cong: 85000,136000,84000,234000,224000,200000,229000,134000,99000,67000,61000,52000,66000,109000,69000,76000,67000,
refl: 46000,19000,14000,15000,17000,23000,
symm: 260000,140000,
false: 12000,
trans: 150000,301000,162000,157000,323000,359000,402000,
equiv2: 387000,849000,
or_pos: 211000,206000,289000,329000,
not_not: 537000,
parsing: 7731000,
aci_simp: 1024000,
evaluate: 349000,
equiv_pos2: 104000,149000,125000,44000,217000,293000,59000,
reordering: 226000,270000,449000,567000,
resolution: 110000,158000,284000,250000,286000,252000,245000,307000,279000,185000,221000,326000,230000,276000,199000,445000,264000,378000,736000,
forall_inst: 848000,790000,731000,794000,
equiv_simplify: 494000,972000,
__normalized_input: 6706000,5575000,3485000,3331000,2047000,1141000,1479000,
rare_rewrite_eq-symm: 115000,364000,441000,
rare_rewrite_bool-impl-elim: 5930000,6322000,6039000,
rare_rewrite_bool-and-de-morgan: 5806000,

