1; Draft.Scratch_smt_check_7_3941; 2026-04-10 13:51:49.126;
and: 296000,142000,
bind: 735000,547000,306000,610000,
cong: 324000,206000,144000,172000,110000,
refl: 73000,49000,
symm: 453000,240000,
false: 24000,
trans: 393000,469000,506000,
equiv2: 468000,246000,
or_pos: 703000,303000,294000,
implies: 255000,
not_not: 394000,
parsing: 3637000,
aci_simp: 2158000,
evaluate: 328000,
subproof: 2797000,
equiv_pos2: 418000,120000,129000,210000,152000,41000,
reordering: 1059000,330000,372000,
resolution: 486000,431000,458000,622000,726000,657000,561000,466000,545000,603000,348000,386000,435000,286000,353000,242000,273000,302000,395000,
contraction: 333000,
forall_inst: 1796000,1029000,1130000,
implies_neg1: 337000,
implies_neg2: 344000,
not_implies1: 183000,
not_implies2: 365000,
__local_input: 393000,
equiv_simplify: 636000,330000,
__normalized_input: 5273000,966000,824000,965000,
rare_rewrite_eq-symm: 206000,
rare_rewrite_bool-impl-elim: 11807000,11248000,6968000,7536000,
rare_rewrite_bool-and-de-morgan: 13680000,

