1; Draft.Scratch_smt_check_7_11150; 2026-04-10 13:47:25.605;
bind: 391000,441000,574000,586000,
cong: 231000,293000,254000,
refl: 154000,137000,157000,
symm: 92000,
trans: 351000,358000,333000,372000,496000,411000,445000,
equiv1: 365000,
or_pos: 426000,
parsing: 8411000,
aci_simp: 1217000,1178000,1420000,
equiv_pos2: 35000,247000,455000,
reordering: 733000,
resolution: 257000,232000,309000,223000,412000,419000,
forall_inst: 1095000,
connective_def: 488000,
miniscope_split: 575000,
__normalized_input: 731000,1102000,592000,755000,591000,
rare_rewrite_bool-eq-false: 5782000,
rare_rewrite_bool-impl-elim: 6805000,6942000,
rare_rewrite_bool-and-de-morgan: 5908000,

