1; Draft.Scratch_smt_check_7_25108; 2026-04-10 13:44:54.576;
bind: 507000,404000,445000,420000,448000,
cong: 258000,225000,257000,305000,228000,260000,252000,
refl: 33000,32000,
trans: 361000,415000,332000,373000,327000,376000,399000,388000,339000,394000,348000,357000,330000,
parsing: 7983000,
aci_simp: 1909000,2077000,2250000,2171000,2072000,1887000,
poly_simp: 3195000,3362000,
equiv_pos2: 295000,321000,
resolution: 196000,468000,309000,514000,
poly_simp_rel: 1844000,1890000,
connective_def: 585000,
miniscope_split: 606000,
__normalized_input: 1327000,1047000,780000,
rare_rewrite_bool-impl-elim: 11906000,
rare_rewrite_bool-and-de-morgan: 12073000,12203000,11717000,11835000,

