1; Draft.Scratch_smt_check_7_23607; 2026-04-10 13:47:59.607;
bind: 262000,296000,233000,320000,234000,
cong: 117000,63000,140000,185000,324000,
refl: 31000,27000,381000,43000,46000,
symm: 223000,282000,234000,
false: 19000,
trans: 135000,223000,231000,188000,100000,263000,218000,239000,243000,169000,195000,
equiv2: 294000,314000,
or_pos: 330000,395000,
implies: 353000,
not_not: 247000,
parsing: 10174000,
aci_simp: 956000,1015000,1079000,
evaluate: 199000,428000,
onepoint: 1279000,
qnt_join: 261000,
subproof: 2086000,
equiv_pos2: 178000,194000,453000,59000,
reordering: 445000,524000,
resolution: 114000,155000,170000,195000,235000,274000,183000,211000,273000,306000,495000,574000,532000,335000,294000,409000,
contraction: 550000,
forall_inst: 801000,1292000,1371000,
implies_neg1: 492000,
implies_neg2: 437000,
__local_input: 185000,
qnt_rm_unused: 376000,1337000,
equiv_simplify: 432000,435000,
__normalized_input: 18652000,3012000,1054000,818000,1053000,
rare_rewrite_eq-refl: 103000,
rare_rewrite_eq-symm: 394000,
rare_rewrite_or-not-refl: 6197000,
rare_rewrite_bool-impl-elim: 6083000,19523000,
rare_rewrite_bool-and-de-morgan: 6056000,

