1; Draft.Scratch_smt_check_7_11401; 2026-04-10 13:51:05.283;
bind: 676000,
cong: 128000,141000,132000,96000,163000,156000,183000,141000,99000,102000,87000,
refl: 30000,32000,46000,42000,
symm: 466000,272000,
trans: 478000,386000,
equiv1: 551000,
equiv2: 547000,
or_pos: 623000,
and_pos: 632000,
parsing: 1731000,
equiv_pos2: 267000,140000,172000,274000,
reordering: 967000,865000,1371000,
resolution: 907000,564000,641000,677000,469000,459000,549000,532000,518000,641000,671000,
forall_inst: 1730000,1670000,2085000,
equiv_simplify: 638000,658000,
__normalized_input: 75150000,58108000,28964000,5365000,2136000,2235000,2094000,
rare_rewrite_bool-impl-elim: 12596000,

