1; Draft.Scratch_smt_check_7_3434; 2026-04-10 13:49:44.982;
bind: 332000,326000,381000,
cong: 258000,117000,118000,228000,115000,73000,221000,129000,
refl: 19000,
symm: 233000,
false: 13000,
trans: 145000,
equiv2: 166000,327000,
or_pos: 179000,224000,331000,611000,
implies: 230000,219000,218000,
not_not: 138000,
parsing: 23028000,
evaluate: 404000,
subproof: 1286000,1461000,1514000,
equiv_pos1: 79000,
equiv_pos2: 331000,301000,217000,185000,13415000,234000,66000,
reordering: 326000,201000,293000,403000,551000,
resolution: 108000,153000,172000,217000,190000,342000,399000,381000,229000,223000,191000,219000,312000,366000,383000,255000,164000,228000,193000,221000,309000,319000,376000,423000,229000,307000,303000,353000,462000,385000,
contraction: 386000,393000,350000,
forall_inst: 850000,767000,713000,806000,1400000,
implies_neg1: 316000,308000,297000,
implies_neg2: 326000,291000,288000,
__local_input: 64000,98000,95000,
equiv_simplify: 242000,473000,
__normalized_input: 12258000,10595000,1180000,1021000,1431000,1127000,1226000,
rare_rewrite_eq-symm: 238000,151000,197000,
rare_rewrite_bool-impl-elim: 6224000,6241000,12454000,

