1; Draft.Scratch_smt_check_7_22659; 2026-04-10 13:42:47.371;
bind: 318000,275000,
or_neg: 139000,134000,162000,136000,
or_pos: 266000,268000,287000,250000,
parsing: 2473000,
equiv_pos1: 50000,46000,
equiv_pos2: 202000,51000,203000,46000,
not_equiv1: 108000,
not_equiv2: 164000,
reordering: 217000,233000,311000,228000,291000,242000,226000,253000,
resolution: 269000,272000,262000,311000,338000,506000,259000,289000,321000,463000,248000,290000,398000,
forall_inst: 1093000,1141000,
__normalized_input: 920000,884000,740000,853000,
rare_rewrite_bool-impl-elim: 10358000,10627000,

