1; Draft.Scratch_smt_check_7_17490; 2026-04-10 13:51:44.191;
bind: 509000,641000,405000,398000,459000,
cong: 83000,85000,81000,264000,72000,84000,59000,55000,55000,33000,29000,21000,103000,101000,46000,81000,210000,
refl: 30000,26000,26000,37000,38000,18000,24000,
symm: 270000,285000,
trans: 481000,478000,346000,
equiv1: 376000,
or_pos: 468000,406000,
implies: 468000,419000,
parsing: 3906000,
subproof: 1575000,1362000,
equiv_pos1: 107000,
equiv_pos2: 184000,171000,129000,358000,117000,131000,68000,259000,
reordering: 649000,611000,423000,546000,
resolution: 355000,417000,492000,463000,514000,426000,436000,434000,558000,600000,602000,499000,482000,501000,478000,375000,421000,473000,417000,488000,549000,655000,469000,
contraction: 610000,494000,
forall_inst: 1262000,1227000,1113000,1059000,1171000,
implies_neg1: 530000,453000,
implies_neg2: 606000,472000,
__local_input: 347000,95000,
equiv_simplify: 519000,
__normalized_input: 42348000,35625000,23737000,22492000,22273000,22219000,4608000,
rare_rewrite_eq-refl: 331000,
rare_rewrite_eq-symm: 391000,341000,557000,479000,
rare_rewrite_bool-impl-elim: 6877000,6806000,

