1; Draft.Scratch_smt_check_7_11857; 2026-04-10 13:46:54.819;
bind: 186000,199000,
cong: 160000,133000,169000,96000,
refl: 51000,
trans: 232000,
implies: 178000,
parsing: 1167000,
subproof: 1885000,
poly_simp: 3234000,6896000,7230000,
equiv_pos2: 150000,119000,119000,
reordering: 312000,
resolution: 319000,386000,369000,395000,447000,262000,324000,
contraction: 298000,
forall_inst: 1134000,
implies_neg1: 240000,
implies_neg2: 254000,
__local_input: 56000,
poly_simp_rel: 1929000,1819000,5408000,
__normalized_input: 5537000,816000,926000,

