1; Draft.Scratch_smt_check_7_29190; 2026-04-10 13:46:20.181;
bind: 341000,423000,
cong: 89000,85000,104000,90000,108000,90000,132000,128000,281000,179000,128000,75000,187000,186000,79000,159000,194000,82000,117000,155000,203000,102000,
refl: 31000,34000,34000,76000,
symm: 179000,190000,
trans: 258000,254000,183000,319000,331000,331000,342000,168000,
equiv1: 227000,
equiv2: 211000,
not_or: 315000,
implies: 328000,252000,
not_not: 200000,192000,
parsing: 4182000,
aci_simp: 1851000,
evaluate: 289000,
subproof: 2183000,1903000,
equiv_pos2: 121000,228000,227000,369000,98000,187000,157000,87000,
reordering: 492000,
resolution: 266000,293000,279000,352000,327000,288000,276000,382000,439000,538000,525000,299000,462000,307000,416000,300000,655000,450000,442000,320000,
contraction: 464000,353000,
forall_inst: 1355000,1210000,
implies_neg1: 416000,310000,
implies_neg2: 432000,302000,
__local_input: 158000,64000,
equiv_simplify: 349000,366000,
__normalized_input: 2504000,1236000,996000,962000,1288000,
rare_rewrite_eq-refl: 167000,
rare_rewrite_eq-symm: 171000,156000,178000,162000,285000,175000,
rare_rewrite_bool-double-not-elim: 266000,

