1; Draft.Scratch_smt_check_7_17617; 2026-04-10 13:48:30.370;
bind: 347000,335000,
cong: 176000,133000,170000,209000,486000,364000,98000,105000,
refl: 37000,118000,36000,234000,59000,
symm: 168000,172000,
false: 14000,
trans: 105000,281000,232000,236000,188000,196000,278000,228000,234000,186000,223000,381000,213000,
equiv2: 192000,209000,
or_pos: 420000,
implies: 243000,
not_not: 210000,
parsing: 9008000,
aci_simp: 1189000,993000,1111000,985000,1815000,
evaluate: 283000,323000,
subproof: 1668000,
equiv_pos2: 216000,431000,685000,52000,
reordering: 532000,
resolution: 118000,176000,145000,209000,286000,329000,365000,460000,548000,349000,338000,291000,353000,
contraction: 421000,
forall_inst: 1501000,
implies_neg1: 681000,
implies_neg2: 342000,
__local_input: 268000,
equiv_simplify: 336000,357000,
__normalized_input: 1823000,1030000,845000,881000,956000,
rare_rewrite_eq-refl: 174000,
rare_rewrite_bool-impl-elim: 6159000,20502000,
rare_rewrite_bool-and-de-morgan: 5798000,6200000,5848000,5884000,

