1; Draft.Scratch_smt_check_7_16385; 2026-04-10 13:44:37.152;
bind: 270000,627000,299000,586000,
cong: 121000,94000,
refl: 222000,213000,228000,246000,
symm: 466000,137000,473000,
trans: 474000,279000,202000,470000,
or_pos: 357000,381000,
and_neg: 555000,
and_pos: 517000,493000,425000,
implies: 533000,
parsing: 15553000,
subproof: 2358000,
equiv_pos2: 192000,399000,198000,407000,
reordering: 543000,816000,1474000,529000,
resolution: 360000,235000,357000,329000,324000,383000,511000,783000,697000,617000,1271000,273000,340000,356000,373000,467000,354000,
contraction: 759000,834000,
forall_inst: 1182000,1500000,1428000,1188000,1446000,1475000,
implies_neg1: 797000,
implies_neg2: 714000,
__local_input: 50000,63000,52000,
__normalized_input: 2922000,2048000,1545000,802000,1130000,
rare_rewrite_eq-symm: 184000,210000,
rare_rewrite_bool-impl-elim: 11332000,11485000,

