1; Draft.Scratch_smt_check_7_20638; 2026-04-10 13:50:12.443;
bind: 379000,357000,392000,372000,
cong: 166000,99000,118000,50000,59000,115000,71000,51000,40000,42000,48000,56000,213000,89000,108000,70000,87000,45000,42000,51000,59000,
refl: 43000,39000,
symm: 100000,114000,
trans: 341000,348000,
or_pos: 279000,
implies: 337000,
parsing: 3887000,
subproof: 1708000,
equiv_pos2: 216000,49000,93000,51000,213000,
reordering: 411000,
resolution: 236000,328000,280000,228000,246000,478000,467000,277000,313000,246000,
contraction: 500000,
forall_inst: 909000,
implies_neg1: 512000,
implies_neg2: 438000,
__local_input: 143000,
__normalized_input: 20210000,2857000,711000,831000,719000,
rare_rewrite_bool-impl-elim: 6194000,6275000,

