1; Draft.Scratch_smt_check_7_8881; 2026-04-10 13:52:04.954;
and: 172000,153000,
cong: 118000,222000,91000,84000,100000,66000,52000,54000,
refl: 37000,35000,19000,
symm: 162000,104000,111000,
false: 13000,
trans: 154000,184000,214000,205000,
equiv2: 200000,204000,
implies: 255000,
not_not: 184000,
parsing: 1512000,
evaluate: 259000,
subproof: 1112000,
equiv_pos2: 86000,272000,42000,90000,46000,
resolution: 141000,192000,207000,240000,217000,364000,388000,384000,242000,216000,266000,228000,288000,
contraction: 356000,
forall_inst: 832000,
implies_neg1: 334000,
implies_neg2: 326000,
__local_input: 121000,
equiv_simplify: 329000,284000,
__normalized_input: 31111000,3857000,781000,689000,701000,
rare_rewrite_eq-symm: 201000,228000,195000,

