1; Draft.Scratch_smt_check_7_13498; 2026-04-10 13:47:35.232;
and: 209000,191000,
bind: 461000,1653000,1537000,804000,238000,
cong: 113000,112000,94000,151000,83000,220000,228000,205000,1293000,104000,100000,150000,89000,843000,1001000,473000,453000,449000,386000,363000,370000,287000,353000,145000,142000,181000,168000,154000,148000,131000,127000,
refl: 137000,151000,154000,54000,58000,177000,55000,87000,84000,
trans: 417000,366000,486000,381000,392000,1372000,1297000,1338000,1261000,903000,984000,914000,871000,863000,750000,738000,781000,489000,199000,212000,184000,199000,453000,424000,442000,363000,340000,319000,
equiv1: 409000,
or_pos: 653000,
parsing: 59629000,
aci_simp: 1956000,3839000,2718000,1008000,1243000,1533000,1203000,1212000,1116000,1119000,1292000,
equiv_pos2: 118000,266000,598000,
reordering: 1180000,
resolution: 4856000,493000,403000,587000,2338000,962000,
forall_inst: 1335000,
connective_def: 549000,282000,
__normalized_input: 4308000,791000,1192000,491000,604000,474000,550000,534000,451000,451000,816000,
rare_rewrite_bool-impl-elim: 7767000,
rare_rewrite_bool-and-de-morgan: 13597000,13267000,9212000,7500000,7378000,7052000,7120000,7185000,7249000,7396000,6159000,6685000,
rare_rewrite_bool-double-not-elim: 438000,254000,

