1; Draft.Scratch_smt_check_7_5797; 2026-04-10 13:45:30.373;
cong: 261000,81000,414000,
refl: 39000,51000,101000,72000,
symm: 120000,
trans: 235000,
equiv1: 299000,
equiv2: 267000,
or_neg: 360000,328000,367000,
and_neg: 361000,
and_pos: 253000,361000,
implies: 303000,
not_not: 241000,
parsing: 1669000,
subproof: 2132000,
equiv_pos2: 433000,
reordering: 706000,
resolution: 293000,726000,853000,656000,538000,501000,782000,317000,265000,421000,
contraction: 697000,466000,490000,
implies_neg1: 470000,
implies_neg2: 433000,
__local_input: 36000,82000,
equiv_simplify: 435000,416000,
__normalized_input: 1088000,858000,1093000,
rare_rewrite_bool-double-not-elim: 286000,

