1; Draft.Scratch_smt_check_7_13665; 2026-04-10 13:49:05.583;
and: 235000,
bind: 162000,398000,366000,322000,766000,636000,612000,499000,490000,463000,450000,363000,296000,296000,310000,490000,401000,
cong: 73000,61000,50000,141000,73000,244000,242000,195000,55000,64000,215000,212000,218000,57000,59000,44000,48000,59000,66000,86000,168000,193000,199000,44000,59000,69000,419000,417000,313000,90000,134000,313000,381000,359000,97000,104000,85000,82000,103000,107000,120000,297000,322000,335000,73000,88000,157000,955000,584000,524000,422000,312000,294000,103000,112000,208000,183000,230000,134000,98000,91000,225000,155000,88000,86000,106000,113000,112000,291000,137000,84000,249000,215000,213000,119000,102000,
refl: 18000,45000,32000,26000,29000,18000,17000,16000,17000,28000,55000,46000,48000,34000,31000,25000,26000,46000,75000,67000,26000,28000,75000,72000,58000,511000,121000,153000,59000,37000,
symm: 99000,177000,166000,175000,145000,151000,362000,280000,419000,77000,
false: 12000,
trans: 156000,316000,328000,306000,337000,195000,168000,170000,617000,641000,615000,602000,381000,346000,344000,431000,438000,393000,353000,346000,217000,384000,181000,389000,376000,413000,269000,216000,161000,295000,274000,310000,298000,577000,308000,
equiv1: 483000,
equiv2: 179000,426000,237000,
or_neg: 426000,474000,454000,
or_pos: 641000,316000,
implies: 471000,
not_not: 368000,192000,
parsing: 37279000,
aci_simp: 914000,939000,1113000,1842000,1828000,2110000,2093000,1802000,1903000,
evaluate: 324000,230000,
onepoint: 1844000,
qnt_join: 371000,
subproof: 2728000,
equiv_pos1: 405000,393000,
equiv_pos2: 85000,259000,478000,1293000,344000,82000,179000,165000,136000,41000,
reordering: 751000,912000,1410000,1021000,1478000,525000,
resolution: 121000,151000,168000,172000,222000,283000,310000,384000,551000,6748000,1070000,559000,624000,1023000,541000,492000,387000,362000,400000,641000,580000,488000,322000,288000,446000,381000,490000,645000,512000,286000,307000,
contraction: 682000,
forall_inst: 873000,1981000,1786000,1918000,1275000,983000,
implies_neg1: 1203000,
implies_neg2: 1436000,
__local_input: 212000,
qnt_rm_unused: 453000,1674000,
equiv_simplify: 287000,599000,637000,324000,
__normalized_input: 13180000,13320000,13071000,12402000,10930000,11043000,8985000,9107000,18520000,1217000,1223000,
miniscope_distribute: 715000,
rare_rewrite_eq-refl: 176000,
rare_rewrite_eq-symm: 300000,90000,97000,338000,84000,86000,74000,87000,116000,673000,182000,199000,602000,160000,179000,153000,160000,193000,255000,330000,207000,208000,153000,171000,
rare_rewrite_or-not-refl: 11691000,
rare_rewrite_bool-impl-elim: 13277000,8545000,
rare_rewrite_bool-or-de-morgan: 11465000,
rare_rewrite_bool-and-de-morgan: 11346000,
rare_rewrite_bool-or-and-distrib: 11884000,
rare_rewrite_bool-double-not-elim: 167000,194000,

