1; Draft.Scratch_smt_check_7_15635; 2026-04-10 13:45:49.101;
cong: 191000,225000,205000,
refl: 51000,
symm: 189000,222000,
trans: 505000,
equiv1: 430000,
equiv2: 317000,
implies: 401000,
not_not: 326000,
parsing: 6791000,
not_symm: 234000,
subproof: 3265000,
resolution: 439000,466000,466000,594000,475000,516000,880000,874000,715000,
contraction: 702000,
forall_inst: 1967000,2002000,2475000,
implies_neg1: 682000,
implies_neg2: 559000,
__local_input: 340000,
equiv_simplify: 500000,899000,
__normalized_input: 10046000,6298000,5813000,945000,

