1; Draft.Scratch_smt_check_7_32081; 2026-04-10 13:46:20.500;
bind: 272000,513000,415000,
cong: 229000,127000,116000,144000,
refl: 74000,
symm: 190000,
trans: 297000,344000,
or_pos: 514000,429000,
implies: 457000,
parsing: 5470000,
aci_simp: 1962000,
subproof: 2705000,
equiv_pos2: 267000,343000,130000,121000,270000,
reordering: 907000,728000,
resolution: 198000,271000,402000,426000,568000,454000,360000,379000,684000,767000,403000,432000,
contraction: 667000,
forall_inst: 1634000,1423000,
implies_neg1: 540000,
implies_neg2: 631000,
__local_input: 147000,
__normalized_input: 8165000,7363000,3013000,3083000,1321000,1198000,
rare_rewrite_bool-impl-elim: 23908000,11681000,11540000,
rare_rewrite_bool-and-de-morgan: 11463000,

