1; Draft.Scratch_smt_check_7_31976; 2026-04-10 13:43:21.607;
bind: 350000,274000,261000,590000,
cong: 165000,117000,115000,149000,274000,193000,193000,
refl: 28000,134000,54000,47000,250000,
trans: 276000,207000,211000,189000,201000,173000,180000,204000,567000,373000,376000,341000,369000,362000,
or_pos: 253000,408000,782000,
implies: 653000,
parsing: 45943000,
aci_simp: 1113000,975000,1141000,2146000,2022000,
subproof: 3990000,
equiv_pos2: 245000,154000,327000,526000,
reordering: 399000,516000,1231000,
resolution: 419000,316000,423000,222000,260000,268000,211000,264000,287000,1035000,1399000,840000,521000,
contraction: 1038000,
forall_inst: 829000,1464000,5615000,
implies_neg1: 918000,
implies_neg2: 1035000,
__local_input: 212000,
__normalized_input: 1835000,6059000,4996000,1211000,6093000,904000,804000,902000,
rare_rewrite_bool-impl-elim: 6528000,6644000,12192000,30137000,
rare_rewrite_bool-and-de-morgan: 5995000,6368000,6200000,18929000,12163000,11972000,12313000,

