1; Draft.Scratch_smt_check_7_10049; 2026-04-10 13:45:55.436;
and: 144000,161000,
cong: 312000,1265000,88000,522000,491000,480000,486000,343000,339000,300000,288000,
refl: 40000,43000,46000,
trans: 536000,584000,1308000,1220000,1140000,1109000,876000,940000,793000,756000,
parsing: 5060000,
aci_simp: 14778000,2984000,3053000,2799000,2720000,2493000,2430000,2494000,2323000,2239000,
not_symm: 128000,
and_intro: 557000,
equiv_pos2: 715000,
resolution: 144000,422000,
__normalized_input: 1524000,1512000,1441000,1490000,1465000,1388000,1359000,1125000,2413000,
rare_rewrite_eq-refl: 236000,263000,
rare_rewrite_eq-symm: 153000,

