1; Draft.Scratch_smt_check_7_30023; 2026-04-10 13:50:40.009;
and: 291000,
bind: 345000,272000,315000,289000,411000,374000,196000,224000,237000,237000,490000,469000,289000,279000,324000,357000,380000,534000,482000,552000,507000,
cong: 139000,86000,94000,140000,85000,88000,425000,272000,155000,171000,243000,147000,228000,137000,86000,84000,110000,124000,79000,128000,71000,54000,72000,53000,60000,80000,63000,70000,52000,75000,53000,70000,45000,157000,280000,284000,239000,260000,310000,145000,133000,83000,121000,324000,139000,110000,227000,245000,252000,196000,123000,
refl: 28000,84000,38000,52000,22000,17000,17000,18000,29000,37000,35000,98000,36000,42000,45000,64000,476000,137000,141000,62000,73000,64000,184000,
symm: 159000,145000,117000,375000,403000,
trans: 247000,148000,150000,162000,169000,239000,148000,136000,156000,155000,334000,307000,339000,189000,222000,138000,147000,203000,216000,196000,181000,181000,122000,390000,350000,377000,325000,331000,582000,302000,275000,197000,138000,389000,460000,476000,561000,365000,405000,240000,377000,335000,385000,370000,527000,383000,435000,421000,273000,
equiv1: 210000,436000,
equiv2: 137000,125000,
or_neg: 182000,189000,211000,
or_pos: 395000,1184000,894000,
and_pos: 159000,162000,170000,150000,160000,171000,
implies: 390000,205000,
not_and: 209000,
not_not: 154000,
parsing: 36718000,
aci_simp: 1389000,1446000,1182000,2872000,1820000,1921000,
evaluate: 216000,383000,
onepoint: 1780000,
qnt_join: 425000,
subproof: 1849000,1098000,1144000,
and_intro: 162000,
poly_simp: 2554000,2515000,2425000,2619000,1967000,1963000,1744000,2575000,2439000,4709000,4699000,
equiv_pos2: 161000,170000,501000,244000,90000,119000,39000,50000,49000,39000,27000,43000,48000,119000,58000,731000,293000,258000,
reordering: 396000,461000,319000,530000,2136000,1266000,
resolution: 285000,386000,359000,646000,619000,696000,380000,341000,330000,387000,424000,195000,282000,246000,227000,334000,217000,254000,237000,385000,385000,232000,230000,265000,295000,556000,183000,189000,244000,222000,181000,217000,347000,323000,637000,212000,278000,405000,563000,420000,408000,573000,459000,562000,
contraction: 530000,303000,209000,245000,271000,305000,
forall_inst: 961000,962000,725000,805000,2395000,1382000,
implies_neg1: 474000,205000,275000,
implies_neg2: 563000,167000,267000,
__local_input: 205000,35000,44000,122000,38000,39000,141000,
poly_simp_rel: 1023000,1070000,993000,1060000,1155000,998000,1540000,986000,1857000,2010000,
qnt_rm_unused: 538000,1718000,
equiv_simplify: 216000,203000,
implies_simplify: 283000,
__normalized_input: 52024000,18752000,13951000,6162000,4705000,4174000,3656000,2957000,2450000,606000,1024000,
miniscope_distribute: 767000,
rare_rewrite_eq-refl: 237000,
rare_rewrite_eq-symm: 170000,215000,106000,171000,
rare_rewrite_or-not-refl: 12242000,
rare_rewrite_arith-elim-lt: 5848000,12529000,5738000,5915000,5835000,6055000,
rare_rewrite_arith-elim-leq: 5799000,5726000,5942000,
rare_rewrite_arith-leq-norm: 19071000,12889000,12386000,
rare_rewrite_bool-impl-elim: 6308000,6102000,6356000,6716000,6067000,12374000,14371000,
rare_rewrite_arith-geq-tighten: 5992000,5693000,
rare_rewrite_bool-or-de-morgan: 12144000,
rare_rewrite_bool-and-de-morgan: 5782000,6187000,6328000,
rare_rewrite_bool-or-and-distrib: 12383000,
rare_rewrite_bool-double-not-elim: 169000,158000,150000,148000,158000,151000,159000,367000,

