1; Draft.Scratch_smt_check_7_14836; 2026-04-10 13:50:39.907;
bind: 358000,373000,349000,344000,
cong: 152000,136000,81000,146000,134000,57000,83000,67000,88000,64000,118000,181000,155000,146000,100000,140000,116000,164000,111000,552000,161000,129000,83000,105000,125000,85000,186000,145000,97000,103000,117000,88000,125000,157000,161000,76000,95000,119000,85000,442000,146000,166000,116000,
refl: 60000,54000,19000,63000,57000,17000,25000,26000,116000,85000,39000,37000,36000,75000,43000,
symm: 343000,315000,280000,238000,259000,235000,245000,264000,
trans: 301000,306000,274000,230000,321000,276000,506000,406000,358000,422000,
equiv1: 439000,322000,
equiv2: 427000,339000,401000,
or_neg: 278000,270000,283000,295000,537000,485000,582000,
or_pos: 604000,
and_neg: 507000,
and_pos: 301000,356000,397000,9826000,626000,597000,617000,660000,471000,554000,581000,472000,
implies: 935000,500000,463000,490000,506000,
not_and: 300000,
not_not: 363000,373000,
parsing: 30041000,
evaluate: 491000,
subproof: 2792000,2733000,4139000,2318000,2476000,2449000,
and_intro: 622000,426000,
equiv_pos2: 211000,50000,70000,171000,98000,52000,98000,137000,595000,99000,151000,102000,142000,99000,148000,408000,
reordering: 408000,1098000,2612000,900000,898000,740000,640000,
resolution: 190000,235000,263000,360000,219000,260000,210000,269000,621000,1673000,315000,331000,430000,379000,1090000,378000,457000,567000,570000,393000,483000,1300000,1325000,2206000,473000,568000,544000,507000,870000,951000,793000,783000,664000,1073000,432000,512000,477000,742000,644000,958000,406000,426000,522000,484000,522000,715000,754000,537000,760000,755000,
contraction: 677000,403000,471000,1325000,1675000,828000,658000,635000,625000,633000,650000,825000,
forall_inst: 920000,
implies_neg1: 965000,1399000,630000,694000,641000,623000,
implies_neg2: 315000,1324000,541000,521000,678000,735000,
__local_input: 66000,72000,177000,201000,76000,74000,137000,201000,129000,104000,100000,228000,132000,234000,
equiv_simplify: 584000,474000,556000,528000,
implies_simplify: 538000,
__normalized_input: 38368000,21760000,21575000,20660000,12334000,6581000,783000,
rare_rewrite_eq-symm: 155000,124000,327000,297000,316000,
rare_rewrite_bool-impl-elim: 6460000,
rare_rewrite_bool-double-not-elim: 137000,420000,390000,

