rule,count,total,mean,min,first_quartile,median,third_quartile,max
parsing,1327,20313617799.999992,15307925.998492835,56150,1131000,5688000,17434000,110496549.99999972
rare_rewrite_bool-impl-elim,1631,19022680250,11663200.643776825,5761250,7003000,11397000,12018500,26818000
rare_rewrite_bool-and-de-morgan,1586,16049552000,10119515.762925599,5572000,6252750,10945500,11675250,23625125
resolution,22722,8818602000,388108.5291787695,143000,236000,320000,441000,1431000
poly_simp,2474,7454001400,3012935.084882781,1416825,1731000,2488000,3397000,9629874.999999998
__normalized_input,4952,6610423800,1334899.7980613892,677000,849000,1005000,1316000,5484449.999999999
rare_rewrite_arith-elim-lt,541,5334280000,9860036.96857671,5388000,5976000,7891000,11383000,26401500
and_pos,2563,4570077750,1783097.0542333203,86000,175000,307000,798500,15373949.999999996
subproof,2071,4229394000,2042198.9377112505,992000,1159500,1951000,2307000,6120500
forall_inst,3514,4193842399.9999986,1193466.8184405232,623825,741000,1188000,1331000,4422474.99999999
rare_rewrite_arith-elim-leq,398,3680575250,9247676.507537689,5455050,6046750,7744000,11338250,22465774.999999996
aci_simp,2154,3428167550,1591535.5385329619,897825,1068000,1722000,1943000,2708000
trans,12092,3413208350,282269.9594773404,88000,167000,237000,340000,866450.0000000007
rare_rewrite_bool-impl-false1,312,3319608400,10639770.512820512,5549275,6120750,10933500,11729500,26723774.999999996
cong,14893,2952517199.999999,198248.65372994018,54000,108000,160000,240000,689399.9999999978
rare_rewrite_bool-eq-false,214,2338682200,10928421.495327102,5495150,6204500,11059500,11814750,24484050
reordering,3397,2089853500,615205.6226081837,158000,283000,401000,594000,3938499.9999999995
contraction,3440,1889046600,549141.4534883721,159000,283000,394500,596000,2493100.0000000005
equiv_pos2,6672,1814146024.9999995,271904.3802458033,51000,129000,218000,339250,1002574.9999999962
bind,5010,1720799949.9999998,343473.0439121756,136450.00000000003,235000,310000,408000,847874.9999999981
poly_simp_rel,1152,1651331625,1433447.5911458333,924775,1026000,1214000,1824000,2641349.9999999995
rare_rewrite_or-not-refl,184,1633829125,8879506.114130436,5716225,6209000,6828500,11626500,18836399.999999978
hole,2,1407864000,703932000,649309850,676620925,703932000,731243075,758554150
la_generic,100,1333586175,13335861.75,5834625,8214750,11487500,16454750,32334099.999999996
rare_rewrite_ite-not-cond,143,1124326800,7862425.174825175,5578150,5831500,6244000,8665500,16965799.99999996
or_neg,2497,1121185800,449013.1357629155,120400,184000,252000,355000,5035200
implies_neg1,2073,1044554600.0000001,503885.4799807044,129000,243000,347000,516000,2737800.000000003
implies_neg2,2073,857117600,413467.2455378678,114800,220000,318000,471000,1717000
rare_rewrite_ite-eq,69,675978400,9796788.405797102,5725800,6183000,7729000,11534000,24855899.999999996
sko_forall,310,634784799.9999999,2047692.903225806,872625,1259750,1734000,2319750,6031099.999999984
implies,2103,629270950,299225.3685211603,103000,176000,237000,335500,1138149.9999999988
rare_rewrite_bool-or-de-morgan,67,541843700,8087219.402985075,5506650,5695000,6088000,11427000,17746199.99999999
rare_rewrite_bool-eq-true,32,492642550,15395079.6875,5974225,11227000,11833000,22329750,30440324.999999996
