rule,count,total,mean,min,first_quartile,median,third_quartile,max
rare_rewrite_bool-impl-elim,1467,16414792000,11189360.599863667,5908000,8879500,11397000,11950000,24179000
rare_rewrite_bool-and-de-morgan,1426,13756618000,9646997.194950912,5690000,6344000,10945500,11599000,21201000
parsing,1194,13590381000,11382228.643216081,84000,1375750,5687000,15489500,77405000
resolution,20498,7219044000,352182.8471070348,156000,244000,320000,424000,895000
poly_simp,2226,6176756000,2774823.0008984725,1473000,1780000,2488000,3282000,7005000
__normalized_input,4460,5165968000,1158288.7892376683,707000,862000,1004500,1266250,3997000
rare_rewrite_arith-elim-lt,487,4488614000,9216866.529774128,5471000,6047500,7891000,11258000,23833000
subproof,1866,3529076000,1891251.8756698822,1010000,1185250,1949500,2233500,4231000
forall_inst,3167,3464746000,1094015.1562993368,646000,756500,1187000,1312000,1778000
rare_rewrite_arith-elim-leq,358,3148120000,8793631.284916202,5529000,6082500,7744000,11248500,17283000
aci_simp,1939,3045634000,1570724.0845796803,921000,1086000,1722000,1920000,2465000
trans,10893,2874100000,263848.3429725512,101000,174000,237000,326000,639000
and_pos,2307,2839358000,1230757.693974859,97000,186000,307000,707000,9591000
rare_rewrite_bool-impl-false1,280,2815266000,10054521.42857143,5616000,6202250,10933500,11571500,23613000
cong,13451,2444085000,181702.8473719426,62000,112000,160000,228000,498000
rare_rewrite_bool-eq-false,192,2010713000,10472463.541666666,5594000,6357000,11059500,11673750,23202000
equiv_pos2,6016,1489035000,247512.46675531915,60000,139000,217000,324000,712000
bind,4508,1485298000,329480.47914818104,159000,242750,310000,395000,661000
reordering,3057,1478214000,483550.53974484786,176000,292000,401000,560000,2047000
contraction,3097,1474720000,476176.9454310623,179000,295000,394000,560000,1672000
poly_simp_rel,1037,1453181000,1401331.7261330762,946000,1036000,1214000,1796000,2204000
hole,2,1407864000,703932000,646435000,675183500,703932000,732680500,761429000
rare_rewrite_or-not-refl,164,1403135000,8555701.219512194,5838000,6249500,6828500,11547000,13198000
la_generic,90,1146893000,12743255.555555556,6008000,8577500,11487500,16239250,25369000
rare_rewrite_ite-not-cond,127,952292000,7498362.20472441,5631000,5906500,6244000,7829000,13788000
implies_neg1,1865,782078000,419344.7721179625,144000,254000,347000,490000,1573000
implies_neg2,1869,683996000,365968.9673622258,132000,230000,317000,449000,1099000
or_neg,2248,657878000,292650.35587188613,132000,193000,251500,338000,979000
rare_rewrite_ite-eq,61,554504000,9090229.50819672,5764000,6254000,7729000,11361000,21751000
sko_forall,278,528968000,1902762.5899280575,902000,1343500,1734000,2124500,5107000
implies,1893,510012000,269419.9683042789,116000,181000,237000,320000,742000
rare_rewrite_bool-or-de-morgan,59,454078000,7696237.288135593,5536000,5725500,6088000,11125500,12942000
rare_rewrite_bool-eq-true,28,420101000,15003607.142857144,10685000,11356250,11833000,20350250,25463000
symm,2069,365608000,176707.5882068632,68000,104000,148000,220000,482000
refl,5411,357947000,66151.72796155978,22000,33000,48000,83000,251000
or_pos,959,331087000,345241.9186652763,189000,278000,331000,399000,597000
equiv_simplify,1041,330363000,317351.5850144092,144000,204000,291000,377000,939000
rare_rewrite_arith-elim-gt,42,329101000,7835738.095238095,5820000,6172750,6574000,10700750,11541000
rare_rewrite_eq-symm,2083,309049000,148367.2587614018,69000,106000,136000,180500,349000
onepoint,164,255950000,1560670.731707317,874000,1201750,1378500,1856000,3029000
rare_rewrite_bool-double-not-elim,1422,240651000,169234.17721518988,68000,113250,149000,209000,406000
qnt_rm_unused,235,239642000,1019753.1914893617,248000,435500,824000,1418500,3107000
equiv1,865,230330000,266277.4566473988,74000,125000,199000,312000,1162000
evaluate,852,220201000,258451.8779342723,134000,208000,256000,292000,437000
rare_rewrite_arith-geq-tighten,16,184052000,11503250,5698000,10429500,10834500,11319500,24115000
__local_input,3384,176113000,52042.84869976359,17000,30000,45000,68000,138000
connective_def,425,174787000,411263.5294117647,204000,311000,392000,498000,737000
miniscope_split,253,154757000,611687.7470355731,246000,392000,524000,659000,2507000
implies_simplify,194,107555000,554407.2164948453,173000,272250,389000,668750,1991000
equiv2,557,106761000,191671.4542190305,75000,124000,172000,233000,593000
and_intro,414,96158000,232265.7004830918,86000,133000,181500,270500,878000
and_neg,233,91854000,394223.17596566526,150000,234000,321000,426000,1394000
qnt_join,202,72596000,359386.1386138614,194000,255500,337000,427750,665000
rare_rewrite_eq-refl,464,69183000,149101.2931034483,59000,92000,119000,181250,502000
and,347,63719000,183628.24207492796,73000,111000,152000,230000,466000
not_and,178,59303000,333162.9213483146,165000,212250,266500,415500,901000
not_not,312,56997000,182682.6923076923,95000,147750,177000,213250,347000
la_mult_neg,149,53822000,361221.4765100671,218000,281000,328000,427000,668000
rare_rewrite_bool-or-and-distrib,5,43634000,8726800,5758000,5874000,9236000,11111000,11655000
rare_rewrite_ite-else-true,1,38782000,38782000,38782000,38782000,38782000,38782000,38782000
rare_rewrite_bool-or-taut2,4,33720000,8430000,5960000,6494000,8386000,10322000,10988000
comp_simplify,16,33639000,2102437.5,1346000,1408500,1570000,2879500,3463000
equiv_pos1,271,27235000,100498.15498154981,43000,61000,89000,127500,264000
rare_rewrite_ite-then-false,2,23511000,11755500,11633000,11694250,11755500,11816750,11878000
rare_rewrite_ite-else-false,1,22968000,22968000,22968000,22968000,22968000,22968000,22968000
rare_rewrite_ite-true-cond,1,22645000,22645000,22645000,22645000,22645000,22645000,22645000
rare_rewrite_bool-not-eq-elim1,1,21369000,21369000,21369000,21369000,21369000,21369000,21369000
not_or,62,21080000,340000,205000,246250,330000,437500,541000
rare_rewrite_arith-geq-norm1-real,2,17634000,8817000,5867000,7342000,8817000,10292000,11767000
rare_rewrite_ite-then-true,2,17263000,8631500,6167000,7399250,8631500,9863750,11096000
choice,290,15764000,54358.620689655174,24000,36000,52500,70750,96000
miniscope_distribute,23,15487000,673347.8260869565,268000,501000,584000,847000,1290000
rare_rewrite_eq-ite-lift,2,14139000,7069500,7059000,7064250,7069500,7074750,7080000
rare_rewrite_bool-implies-de-morgan,2,12836000,6418000,6350000,6384000,6418000,6452000,6486000
rare_rewrite_bool-impl-true2,1,12679000,12679000,12679000,12679000,12679000,12679000,12679000
rare_rewrite_bool-eq-nrefl,1,11477000,11477000,11477000,11477000,11477000,11477000,11477000
rare_rewrite_bool-not-eq-elim2,1,11400000,11400000,11400000,11400000,11400000,11400000,11400000
rare_rewrite_bool-not-ite-elim,1,11297000,11297000,11297000,11297000,11297000,11297000,11297000
rare_rewrite_bool-impl-false2,1,10781000,10781000,10781000,10781000,10781000,10781000,10781000
ite2,56,10704000,191142.85714285713,77000,92750,165000,217500,629000
not_symm,82,9793000,119426.82926829268,65000,91250,115500,136750,210000
