1; Draft.Scratch_smt_check_7_27113; 2026-04-10 13:44:30.822;
cong: 195000,155000,146000,141000,147000,
refl: 30000,40000,85000,
trans: 357000,368000,332000,
and_neg: 1203000,
and_pos: 1088000,1129000,1111000,1089000,992000,1042000,1058000,1082000,
implies: 174000,624000,
parsing: 20836000,
subproof: 1041000,3010000,
equiv_pos2: 236000,
reordering: 1013000,9304000,
resolution: 362000,177000,152000,176000,158000,171000,205000,192000,172000,279000,313000,304000,208000,1262000,736000,14701000,5552000,327000,422000,349000,311000,280000,321000,285000,369000,
contraction: 284000,862000,2628000,
forall_inst: 696000,586000,692000,624000,691000,967000,722000,759000,1279000,1318000,1470000,1296000,1320000,1377000,1195000,1597000,
implies_neg1: 241000,2013000,
implies_neg2: 255000,699000,
__local_input: 45000,59000,75000,69000,49000,35000,52000,31000,101000,
__normalized_input: 2083000,2021000,2040000,1972000,1927000,1322000,2502000,998000,906000,
rare_rewrite_eq-symm: 183000,

