1; Draft.Scratch_smt_check_7_22706; 2026-04-10 13:44:36.867;
bind: 399000,409000,
cong: 210000,199000,330000,193000,
refl: 51000,54000,
trans: 248000,278000,289000,287000,
or_pos: 373000,
implies: 310000,
parsing: 3490000,
aci_simp: 1959000,1982000,
subproof: 3016000,
equiv_pos2: 267000,269000,440000,
reordering: 491000,
resolution: 528000,433000,436000,454000,632000,675000,437000,451000,
contraction: 482000,
forall_inst: 1401000,
implies_neg1: 416000,
implies_neg2: 415000,
__local_input: 128000,
__normalized_input: 1790000,832000,847000,906000,
rare_rewrite_eq-symm: 132000,
rare_rewrite_bool-impl-elim: 11429000,12231000,
rare_rewrite_bool-and-de-morgan: 11732000,11611000,

