0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = ["cvc5"], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 10.000, try0 = false, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by        12516ms HOL-Library.AList 29:760  timeout (SH 12516ms): Timed out
0.sledgehammer goal.by        13880ms HOL-Library.AList 40:1119  timeout (SH 13879ms): Timed out
0.sledgehammer goal.using     54733ms HOL-Library.AList 45:1248  timeout (SH 54733ms):
0.sledgehammer goal.by        57291ms HOL-Library.AList 45:1260  timeout (SH 57291ms):
0.sledgehammer goal.by        13436ms HOL-Library.AList 49:1383  timeout (SH 13436ms): Timed out
0.sledgehammer goal.by        13188ms HOL-Library.AList 52:1469  timeout (SH 13188ms): Timed out
0.sledgehammer goal.by        13433ms HOL-Library.AList 69:1893  timeout (SH 13433ms): Timed out
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some (SH 9456ms, ATP 120ms): Try this: apply (smt (cvc5, prereg_lazy) AList.updates_def fold.simps(1) id_apply zip_Nil) (54 ms)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, prereg_lazy) AList.updates_def fold.simps(1) id_apply zip_Nil) (54 ms)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, term_db_relevant) AList.updates_def fold.simps(1) id_apply zip_Nil) (86 ms)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, trigger_linear) AList.updates_def fold.simps(1) id_apply zip_Nil) (112 ms)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, trigger_multi) AList.updates_def fold.simps(1) id_apply zip_Nil) (113 ms)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, inst_when_full) AList.updates_def fold.simps(1) id_apply zip_Nil) (114 ms)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, trigger_cache) AList.updates_def fold.simps(1) id_apply zip_Nil) (114 ms)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, dec_internal_enum_inst_sum) AList.updates_def fold.simps(1) id_apply zip_Nil) (116 ms)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, pre_skolem_quant) AList.updates_def fold.simps(1) id_apply zip_Nil) (119 ms)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, no_ematching) AList.updates_def fold.simps(1) id_apply zip_Nil) (204 ms)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, best) AList.updates_def fold.simps(1) id_apply zip_Nil) (210 ms)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, finite_mode_find_dec_internal) AList.updates_def fold.simps(1) id_apply zip_Nil) (> 54 ms, timed out)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, mbqi) AList.updates_def fold.simps(1) id_apply zip_Nil) (> 54 ms, timed out)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, interleave) AList.updates_def fold.simps(1) id_apply zip_Nil) (> 86 ms, timed out)
0.sledgehammer goal.by         9457ms HOL-Library.AList 95:2841  some Preplay: (smt (cvc5, finite_mode_find) AList.updates_def fold.simps(1) id_apply zip_Nil) (failed)
0.sledgehammer goal.proof     13741ms HOL-Library.AList 103:3097  timeout (SH 13741ms): Timed out
0.sledgehammer goal.by        13682ms HOL-Library.AList 106:3219  timeout (SH 13682ms): Timed out
0.sledgehammer goal.by        14156ms HOL-Library.AList 108:3307  timeout (SH 14156ms): Timed out
0.sledgehammer goal.proof     13446ms HOL-Library.AList 117:3618  timeout (SH 13446ms): Timed out
0.sledgehammer goal.by        13553ms HOL-Library.AList 121:3744  timeout (SH 13553ms): Timed out
0.sledgehammer goal.by        13466ms HOL-Library.AList 124:3970  timeout (SH 13466ms): Timed out
0.sledgehammer goal.by        14381ms HOL-Library.AList 131:4247  timeout (SH 14381ms): Timed out
0.sledgehammer goal.by        13290ms HOL-Library.AList 136:4426  timeout (SH 13290ms): Timed out
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some (SH 30731ms, ATP 1146ms): Try this: by (smt (cvc5, prereg_lazy) in_set_takeD update_updates_conv_if) (337 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, prereg_lazy) in_set_takeD update_updates_conv_if) (337 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, mbqi) in_set_takeD update_updates_conv_if) (609 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, trigger_multi) in_set_takeD update_updates_conv_if) (630 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, pre_skolem_quant) in_set_takeD update_updates_conv_if) (636 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, trigger_linear) in_set_takeD update_updates_conv_if) (640 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, finite_mode_find_dec_internal) in_set_takeD update_updates_conv_if) (641 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, finite_mode_find) in_set_takeD update_updates_conv_if) (642 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, trigger_cache) in_set_takeD update_updates_conv_if) (648 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, no_ematching) in_set_takeD update_updates_conv_if) (656 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, interleave) in_set_takeD update_updates_conv_if) (659 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, best) in_set_takeD update_updates_conv_if) (689 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, inst_when_full) in_set_takeD update_updates_conv_if) (760 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, dec_internal_enum_inst_sum) in_set_takeD update_updates_conv_if) (855 ms)
0.sledgehammer goal.by        30732ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, term_db_relevant) in_set_takeD update_updates_conv_if) (890 ms)
0.sledgehammer goal.by        13711ms HOL-Library.AList 157:5162  timeout (SH 13711ms): Timed out
0.sledgehammer goal.by        13586ms HOL-Library.AList 161:5325  timeout (SH 13586ms): Timed out
0.sledgehammer goal.by        14980ms HOL-Library.AList 175:5775  timeout (SH 14980ms): Timed out
0.sledgehammer goal.by        27713ms HOL-Library.AList 181:6001  some (SH 27712ms, ATP 937ms): Try this: by (smt (cvc5, dec_internal_enum_inst_sum) comp_def delete_eq filter_cong filter_map removeAll_filter_not_eq split_def) (1.4 s)
0.sledgehammer goal.by        27713ms HOL-Library.AList 181:6001  some Preplay: (smt (cvc5, dec_internal_enum_inst_sum) comp_def delete_eq filter_cong filter_map removeAll_filter_not_eq split_def) (1.4 s)
0.sledgehammer goal.by        27713ms HOL-Library.AList 181:6001  some Preplay: (smt (cvc5, no_ematching) comp_def delete_eq filter_cong filter_map removeAll_filter_not_eq split_def) (> 1.0 s, timed out)
0.sledgehammer goal.by        27713ms HOL-Library.AList 181:6001  some Preplay: (smt (cvc5, finite_mode_find) comp_def delete_eq filter_cong filter_map removeAll_filter_not_eq split_def) (> 1.0 s, timed out)
0.sledgehammer goal.by        27713ms HOL-Library.AList 181:6001  some Preplay: (smt (cvc5, finite_mode_find_dec_internal) comp_def delete_eq filter_cong filter_map removeAll_filter_not_eq split_def) (> 1.0 s, timed out)
0.sledgehammer goal.by        27713ms HOL-Library.AList 181:6001  some Preplay: (smt (cvc5, best) comp_def delete_eq filter_cong filter_map removeAll_filter_not_eq split_def) (failed)
