0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = ["cvc5"], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 10.000, try0 = false, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by        13203ms HOL-Library.AList 29:760  timeout (SH 13203ms): Timed out
0.sledgehammer goal.by        13967ms HOL-Library.AList 40:1119  timeout (SH 13966ms): Timed out
0.sledgehammer goal.using     13685ms HOL-Library.AList 45:1248  timeout (SH 13685ms): Timed out
0.sledgehammer goal.by        13316ms HOL-Library.AList 45:1260  timeout (SH 13315ms): Timed out
0.sledgehammer goal.by        13721ms HOL-Library.AList 49:1383  timeout (SH 13721ms): Timed out
0.sledgehammer goal.by        13442ms HOL-Library.AList 52:1469  timeout (SH 13442ms): Timed out
0.sledgehammer goal.by        13631ms HOL-Library.AList 69:1893  timeout (SH 13631ms): Timed out
0.sledgehammer goal.by        14745ms HOL-Library.AList 95:2841  timeout (SH 14745ms): Timed out
0.sledgehammer goal.proof     14027ms HOL-Library.AList 103:3097  timeout (SH 14027ms): Timed out
0.sledgehammer goal.by        13600ms HOL-Library.AList 106:3219  timeout (SH 13600ms): Timed out
0.sledgehammer goal.by        14536ms HOL-Library.AList 108:3307  timeout (SH 14536ms): Timed out
0.sledgehammer goal.proof     13468ms HOL-Library.AList 117:3618  timeout (SH 13468ms): Timed out
0.sledgehammer goal.by        13498ms HOL-Library.AList 121:3744  timeout (SH 13498ms): Timed out
0.sledgehammer goal.by        14049ms HOL-Library.AList 124:3970  timeout (SH 14049ms): Timed out
0.sledgehammer goal.by        14092ms HOL-Library.AList 131:4247  timeout (SH 14091ms): Timed out
0.sledgehammer goal.by        13556ms HOL-Library.AList 136:4426  timeout (SH 13556ms): Timed out
0.sledgehammer goal.by        50443ms HOL-Library.AList 149:4892  some (SH 50442ms, ATP 1265ms): Try this: by (smt (cvc5, quant_saturate) in_set_takeD update_updates_conv_if) (435 ms)
0.sledgehammer goal.by        50443ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, quant_saturate) in_set_takeD update_updates_conv_if) (435 ms)
0.sledgehammer goal.by        50443ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, trigger_max) in_set_takeD update_updates_conv_if) (438 ms)
0.sledgehammer goal.by        50443ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, trigger_last) in_set_takeD update_updates_conv_if) (442 ms)
0.sledgehammer goal.by        50443ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, trigger_relev) in_set_takeD update_updates_conv_if) (445 ms)
0.sledgehammer goal.by        50443ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, term_relev) in_set_takeD update_updates_conv_if) (453 ms)
0.sledgehammer goal.by        50443ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, best) in_set_takeD update_updates_conv_if) (586 ms)
0.sledgehammer goal.by        50443ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, no_simp) in_set_takeD update_updates_conv_if) (613 ms)
0.sledgehammer goal.by        50443ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, fmf) in_set_takeD update_updates_conv_if) (639 ms)
0.sledgehammer goal.by        50443ms HOL-Library.AList 149:4892  some Preplay: (smt (cvc5, noematch) in_set_takeD update_updates_conv_if) (738 ms)
0.sledgehammer goal.by        14105ms HOL-Library.AList 157:5162  timeout (SH 14105ms): Timed out
0.sledgehammer goal.by        13856ms HOL-Library.AList 161:5325  timeout (SH 13856ms): Timed out
0.sledgehammer goal.by        15423ms HOL-Library.AList 175:5775  timeout (SH 15423ms): Timed out
0.sledgehammer goal.by        13604ms HOL-Library.AList 181:6001  timeout (SH 13604ms): Timed out
0.sledgehammer goal.by        13448ms HOL-Library.AList 189:6306  timeout (SH 13447ms): Timed out
0.sledgehammer goal.by        54067ms HOL-Library.AList 201:6712  timeout (SH 54067ms):
