1; Draft.Scratch_smt_check_7_19450; 2026-04-10 13:44:09.097;
cong: 145000,379000,
refl: 87000,107000,
symm: 155000,
trans: 216000,
equiv1: 267000,
equiv2: 259000,
or_neg: 337000,320000,393000,
and_neg: 405000,
and_pos: 300000,309000,
implies: 311000,
not_not: 241000,
parsing: 1507000,
subproof: 2190000,
equiv_pos2: 502000,
reordering: 693000,
resolution: 309000,740000,793000,588000,513000,534000,784000,305000,396000,409000,
contraction: 680000,538000,498000,
implies_neg1: 511000,
implies_neg2: 410000,
__local_input: 38000,51000,
equiv_simplify: 408000,4164000,
__normalized_input: 907000,885000,1091000,
rare_rewrite_bool-double-not-elim: 299000,

