1; Draft.Scratch_smt_check_7_5914; 2026-04-10 13:51:59.798;
bind: 436000,
cong: 212000,207000,67000,
refl: 37000,42000,
symm: 167000,170000,177000,156000,290000,
false: 20000,
trans: 283000,201000,
equiv2: 407000,406000,
or_pos: 400000,
not_not: 305000,
parsing: 4192000,
evaluate: 328000,
equiv_pos2: 232000,44000,
reordering: 670000,
resolution: 197000,231000,322000,374000,392000,386000,424000,339000,
forall_inst: 1142000,
equiv_simplify: 522000,505000,
__normalized_input: 22671000,22183000,14059000,8545000,8564000,8744000,8330000,
rare_rewrite_bool-impl-elim: 6886000,

