1; Draft.Scratch_smt_check_7_9279; 2026-04-10 13:51:59.649;
bind: 794000,542000,527000,688000,
cong: 385000,204000,135000,
refl: 35000,
trans: 525000,
equiv1: 531000,
equiv2: 520000,
or_pos: 628000,645000,
and_neg: 695000,
and_pos: 637000,707000,
implies: 663000,712000,
parsing: 2847000,
subproof: 2539000,2597000,
equiv_pos1: 385000,
equiv_pos2: 284000,215000,221000,550000,300000,
reordering: 857000,881000,925000,1242000,877000,
resolution: 560000,666000,610000,668000,702000,606000,651000,606000,765000,873000,846000,625000,814000,856000,907000,774000,1051000,504000,508000,588000,608000,778000,637000,
contraction: 870000,904000,934000,
forall_inst: 1984000,1747000,1733000,1802000,1781000,
implies_neg1: 710000,1007000,
implies_neg2: 827000,780000,
__local_input: 546000,130000,312000,
equiv_simplify: 696000,677000,
__normalized_input: 34699000,22339000,11292000,5786000,5584000,
rare_rewrite_eq-symm: 487000,444000,711000,
rare_rewrite_bool-impl-elim: 13051000,12618000,

