1; Draft.Scratch_smt_check_7_27351; 2026-04-10 13:47:34.485;
bind: 252000,272000,628000,509000,
cong: 292000,366000,74000,148000,111000,248000,
trans: 417000,202000,198000,232000,167000,385000,427000,380000,
equiv2: 301000,
not_or: 379000,
not_not: 257000,
parsing: 4957000,
aci_simp: 1162000,1990000,2540000,
equiv_pos2: 40000,40000,778000,
resolution: 123000,198000,163000,175000,355000,538000,
connective_def: 643000,612000,
miniscope_split: 368000,694000,
__normalized_input: 19954000,4212000,727000,889000,
rare_rewrite_eq-symm: 134000,
rare_rewrite_bool-and-de-morgan: 26482000,12599000,
rare_rewrite_bool-double-not-elim: 104000,143000,

