1; Draft.Scratch_smt_check_7_28350; 2026-04-10 13:49:49.320;
and: 324000,
bind: 586000,506000,846000,369000,389000,403000,328000,
cong: 433000,259000,145000,309000,158000,242000,138000,313000,176000,160000,194000,
refl: 248000,104000,683000,68000,76000,87000,167000,195000,
trans: 725000,789000,673000,702000,804000,433000,445000,495000,314000,550000,667000,542000,806000,409000,360000,
or_pos: 248000,286000,
parsing: 6438000,
aci_simp: 1952000,2188000,1301000,
evaluate: 348000,
onepoint: 2374000,
equiv_pos2: 238000,144000,
reordering: 327000,359000,
resolution: 376000,456000,623000,210000,256000,324000,
forall_inst: 911000,934000,
__normalized_input: 15288000,4148000,4399000,1964000,
miniscope_distribute: 1016000,
rare_rewrite_eq-refl: 359000,
rare_rewrite_eq-symm: 330000,309000,
rare_rewrite_or-not-refl: 12818000,
rare_rewrite_bool-impl-elim: 6691000,
rare_rewrite_bool-impl-false1: 6652000,7056000,
rare_rewrite_bool-and-de-morgan: 6797000,
rare_rewrite_bool-or-and-distrib: 8848000,
rare_rewrite_bool-double-not-elim: 274000,

