1; Draft.Scratch_smt_check_7_30403; 2026-04-10 13:48:00.094;
bind: 311000,270000,
cong: 107000,73000,79000,215000,135000,144000,179000,99000,92000,93000,103000,109000,
refl: 19000,42000,58000,29000,
symm: 269000,
false: 12000,
trans: 138000,
equiv2: 371000,375000,
or_pos: 309000,
not_not: 281000,
parsing: 3973000,
evaluate: 369000,
equiv_pos2: 178000,82000,173000,172000,56000,
reordering: 420000,
resolution: 121000,158000,185000,226000,270000,394000,267000,348000,392000,374000,438000,470000,
forall_inst: 914000,1403000,
equiv_simplify: 549000,512000,
__normalized_input: 15328000,14589000,5144000,2248000,2332000,
rare_rewrite_eq-symm: 253000,
rare_rewrite_bool-impl-elim: 6028000,

