1; Draft.Scratch_smt_check_7_31369; 2026-04-10 13:52:12.629;
bind: 421000,214000,208000,188000,348000,
cong: 90000,58000,75000,67000,53000,86000,44000,58000,75000,120000,53000,66000,90000,48000,196000,176000,105000,
refl: 20000,43000,27000,49000,114000,
symm: 112000,164000,
false: 22000,
trans: 295000,193000,372000,154000,308000,268000,283000,206000,211000,
equiv2: 163000,177000,
or_neg: 256000,222000,248000,
or_pos: 316000,
not_not: 162000,
parsing: 3242000,
aci_simp: 1117000,966000,
evaluate: 245000,
equiv_pos1: 57000,
equiv_pos2: 78000,100000,77000,183000,204000,31000,
reordering: 284000,444000,
resolution: 303000,381000,377000,387000,466000,242000,232000,214000,257000,252000,401000,451000,203000,454000,382000,325000,
contraction: 369000,
forall_inst: 677000,730000,867000,
equiv_simplify: 237000,249000,
__normalized_input: 5104000,2552000,1831000,613000,510000,481000,485000,638000,
rare_rewrite_eq-symm: 118000,148000,117000,
rare_rewrite_bool-impl-elim: 6172000,
rare_rewrite_bool-and-de-morgan: 5474000,5569000,
rare_rewrite_bool-double-not-elim: 152000,

