1; Draft.Scratch_smt_check_7_31218; 2026-04-10 13:48:04.711;
and: 151000,148000,202000,
bind: 263000,343000,311000,246000,
cong: 137000,159000,108000,105000,67000,109000,72000,
refl: 37000,27000,127000,26000,
symm: 155000,
false: 12000,
trans: 132000,173000,178000,273000,194000,210000,187000,174000,169000,208000,
equiv2: 192000,182000,
or_pos: 603000,398000,
not_not: 208000,
parsing: 8489000,
aci_simp: 985000,1082000,952000,
evaluate: 381000,
equiv_pos2: 168000,10990000,192000,158000,54000,
reordering: 892000,551000,
resolution: 109000,160000,152000,243000,274000,252000,324000,428000,301000,300000,353000,317000,275000,334000,288000,
forall_inst: 717000,1475000,1209000,1159000,
equiv_simplify: 407000,318000,
__normalized_input: 2996000,2319000,2370000,2417000,2041000,1926000,1803000,1735000,1740000,1858000,
rare_rewrite_eq-symm: 194000,186000,
rare_rewrite_bool-impl-elim: 5600000,5819000,
rare_rewrite_bool-and-de-morgan: 5530000,5351000,5466000,5582000,

