1; Draft.Scratch_smt_check_7_20518; 2026-04-10 13:45:55.210;
bind: 500000,567000,
cong: 250000,241000,
refl: 108000,136000,
trans: 387000,407000,
or_pos: 377000,
implies: 465000,
parsing: 5306000,
subproof: 2342000,
equiv_pos2: 404000,329000,
reordering: 560000,
resolution: 347000,580000,470000,660000,638000,372000,491000,
contraction: 660000,
forall_inst: 1469000,
implies_neg1: 653000,
implies_neg2: 563000,
__local_input: 151000,
__normalized_input: 1480000,1222000,1443000,
rare_rewrite_bool-impl-elim: 12623000,12888000,
rare_rewrite_bool-double-not-elim: 231000,230000,

