1; Draft.Scratch_smt_check_7_10721; 2026-04-10 13:45:55.511;
bind: 290000,461000,444000,
cong: 105000,133000,143000,138000,133000,379000,160000,177000,99000,243000,
refl: 30000,44000,44000,21000,26000,
symm: 183000,
trans: 217000,204000,
equiv1: 111000,
equiv2: 110000,
or_pos: 260000,
and_pos: 156000,
implies: 322000,147000,
not_not: 144000,
parsing: 14266000,
subproof: 2062000,2040000,
equiv_pos2: 188000,348000,379000,536000,99000,113000,140000,
reordering: 325000,469000,435000,223000,
resolution: 213000,291000,206000,280000,384000,371000,282000,205000,289000,288000,405000,487000,591000,495000,318000,499000,287000,290000,310000,322000,331000,381000,295000,
contraction: 559000,273000,
forall_inst: 1225000,1378000,1327000,1533000,1164000,
implies_neg1: 450000,200000,
implies_neg2: 435000,165000,
__local_input: 111000,55000,
equiv_simplify: 248000,253000,
__normalized_input: 4860000,3032000,7023000,2957000,781000,872000,782000,4095000,
rare_rewrite_eq-symm: 124000,138000,129000,136000,
rare_rewrite_bool-impl-elim: 11620000,

