1; Draft.Scratch_smt_check_7_3879; 2026-04-10 13:50:10.570;
bind: 329000,344000,270000,
cong: 163000,111000,160000,124000,441000,432000,74000,77000,83000,
refl: 46000,119000,42000,118000,
symm: 105000,102000,108000,
trans: 284000,211000,226000,155000,164000,272000,218000,225000,151000,169000,141000,135000,127000,
equiv1: 123000,130000,145000,
equiv2: 118000,129000,121000,
or_pos: 217000,215000,215000,448000,
implies: 390000,
parsing: 11889000,
aci_simp: 1095000,987000,1103000,985000,
subproof: 1942000,
equiv_pos2: 236000,226000,575000,101000,
reordering: 250000,255000,267000,696000,
resolution: 313000,492000,328000,476000,618000,728000,449000,350000,162000,174000,199000,256000,187000,172000,189000,259000,152000,156000,189000,215000,279000,
contraction: 580000,
forall_inst: 1331000,749000,760000,819000,
implies_neg1: 538000,
implies_neg2: 607000,
__local_input: 153000,
equiv_simplify: 184000,212000,184000,199000,191000,197000,
__normalized_input: 1151000,933000,903000,1109000,792000,850000,1039000,15844000,1453000,
rare_rewrite_eq-symm: 301000,
rare_rewrite_bool-impl-elim: 6534000,6685000,6494000,
rare_rewrite_bool-and-de-morgan: 5991000,6211000,6078000,6817000,

