1; Draft.Scratch_smt_check_7_11547; 2026-04-10 13:43:17.480;
bind: 208000,321000,386000,
cong: 237000,228000,296000,349000,211000,177000,519000,211000,217000,339000,780000,181000,205000,
ite1: 388000,
refl: 30000,49000,214000,
symm: 406000,
true: 63000,
trans: 359000,542000,267000,464000,
choice: 70000,
equiv1: 420000,997000,
equiv2: 196000,598000,
or_neg: 214000,247000,234000,
or_pos: 391000,
implies: 133000,
not_not: 204000,
parsing: 21699000,
not_symm: 143000,
subproof: 5077000,
equiv_pos2: 125000,418000,976000,903000,211000,175000,130000,
reordering: 578000,333000,
resolution: 239000,342000,217000,436000,359000,374000,384000,258000,317000,517000,664000,672000,630000,612000,4006000,464000,324000,438000,233000,356000,
sko_forall: 1910000,
contraction: 491000,233000,
forall_inst: 1167000,
implies_neg1: 219000,
implies_neg2: 166000,
__local_input: 42000,
connective_def: 387000,
equiv_simplify: 344000,621000,1003000,
__normalized_input: 1332000,3562000,884000,1106000,
rare_rewrite_ite-eq: 13143000,
rare_rewrite_eq-refl: 404000,
rare_rewrite_eq-symm: 477000,498000,
rare_rewrite_bool-eq-false: 11579000,22325000,
rare_rewrite_bool-and-de-morgan: 11678000,
rare_rewrite_bool-double-not-elim: 130000,

