1; Draft.Scratch_smt_check_7_17885; 2026-04-10 13:51:15.430;
bind: 772000,
cong: 317000,326000,208000,191000,179000,169000,154000,139000,128000,115000,104000,92000,82000,
refl: 30000,24000,26000,28000,26000,42000,27000,36000,27000,29000,31000,36000,
trans: 668000,653000,629000,583000,551000,530000,488000,447000,473000,402000,361000,343000,
and_pos: 442000,
parsing: 20349000,
aci_simp: 2671000,1855000,1511000,1521000,1413000,1296000,1293000,1247000,1423000,1377000,1194000,1169000,
equiv_pos2: 437000,188000,
reordering: 540000,831000,
resolution: 321000,475000,504000,586000,
forall_inst: 1591000,
__normalized_input: 12475000,1924000,2042000,
rare_rewrite_eq-symm: 218000,

