1; Draft.Scratch_smt_check_7_27557; 2026-04-10 13:51:04.947;
bind: 451000,380000,409000,
cong: 221000,234000,156000,89000,109000,100000,118000,132000,115000,228000,233000,212000,157000,232000,199000,72000,88000,115000,114000,116000,681000,
refl: 70000,68000,164000,71000,74000,
symm: 219000,293000,216000,247000,235000,245000,256000,219000,255000,313000,228000,
trans: 500000,290000,
equiv1: 605000,
equiv2: 681000,
or_neg: 662000,597000,600000,696000,
and_neg: 702000,
and_pos: 535000,519000,750000,
implies: 432000,720000,
not_not: 455000,
parsing: 2654000,
subproof: 2270000,2466000,
equiv_pos2: 310000,104000,164000,165000,266000,283000,84000,166000,880000,
reordering: 1787000,
resolution: 513000,811000,440000,369000,471000,494000,560000,564000,367000,506000,472000,1211000,3402000,1059000,1022000,870000,1509000,497000,442000,558000,649000,479000,369000,512000,
contraction: 481000,1497000,956000,1018000,
forall_inst: 1334000,1592000,1398000,
implies_neg1: 487000,1001000,
implies_neg2: 449000,913000,
__local_input: 268000,71000,150000,213000,
equiv_simplify: 747000,769000,
__normalized_input: 51347000,20791000,18795000,18720000,892000,1009000,
rare_rewrite_eq-symm: 324000,
rare_rewrite_bool-double-not-elim: 622000,

