1; Draft.Scratch_smt_check_7_21655; 2026-04-10 13:48:14.928;
bind: 177000,238000,241000,131000,245000,
cong: 152000,106000,136000,98000,133000,89000,109000,59000,76000,52000,79000,43000,48000,182000,136000,176000,140000,131000,74000,134000,74000,156000,122000,280000,138000,67000,56000,138000,162000,92000,89000,86000,60000,83000,76000,
refl: 20000,42000,27000,32000,16000,18000,
symm: 74000,226000,119000,208000,259000,202000,
false: 13000,
trans: 178000,298000,294000,125000,
equiv2: 293000,263000,
implies: 258000,
not_not: 204000,
parsing: 11517000,
evaluate: 237000,
subproof: 1191000,
equiv_pos1: 156000,
equiv_pos2: 138000,116000,161000,159000,347000,79000,163000,139000,39000,
reordering: 614000,
resolution: 115000,159000,212000,309000,248000,177000,266000,192000,247000,211000,247000,359000,414000,398000,216000,280000,276000,145000,200000,173000,257000,261000,264000,282000,320000,321000,
contraction: 441000,
forall_inst: 923000,791000,761000,916000,839000,891000,608000,733000,1093000,
implies_neg1: 332000,
implies_neg2: 408000,
__local_input: 96000,
equiv_simplify: 358000,368000,
__normalized_input: 7629000,7464000,20866000,12074000,11204000,10824000,9357000,8020000,7820000,3689000,1128000,1162000,
rare_rewrite_eq-symm: 130000,154000,168000,301000,112000,167000,

