1; Draft.Scratch_smt_check_7_18797; 2026-04-10 13:44:09.396;
bind: 276000,271000,375000,327000,277000,
cong: 200000,231000,191000,235000,87000,
refl: 118000,104000,167000,116000,
symm: 105000,
trans: 214000,254000,219000,248000,219000,296000,261000,291000,144000,
equiv1: 197000,
or_pos: 382000,
parsing: 4578000,
aci_simp: 1722000,1687000,
not_symm: 89000,
equiv_pos2: 53000,176000,304000,
reordering: 553000,
resolution: 275000,257000,345000,299000,360000,381000,
forall_inst: 2596000,
miniscope_split: 434000,
__normalized_input: 1708000,937000,859000,771000,
rare_rewrite_eq-symm: 120000,
rare_rewrite_bool-eq-false: 10685000,
rare_rewrite_bool-impl-elim: 10926000,
rare_rewrite_bool-impl-false1: 10760000,16342000,19146000,
rare_rewrite_bool-and-de-morgan: 11217000,
rare_rewrite_bool-double-not-elim: 135000,

