1; Draft.Scratch_smt_check_7_25105; 2026-04-10 13:43:14.434;
cong: 88000,69000,131000,142000,
refl: 39000,
trans: 195000,
equiv1: 146000,
equiv2: 180000,
implies: 243000,
not_not: 162000,
parsing: 768000,
subproof: 1956000,
equiv_pos2: 102000,
resolution: 207000,232000,218000,339000,232000,501000,363000,414000,275000,
contraction: 258000,
forall_inst: 1161000,
implies_neg1: 229000,
implies_neg2: 217000,
__local_input: 36000,
equiv_simplify: 286000,304000,
__normalized_input: 974000,4831000,795000,802000,1031000,

