1; Draft.Scratch_smt_check_7_15; 2026-04-10 13:45:55.849;
bind: 266000,300000,229000,305000,290000,
cong: 118000,63000,145000,293000,315000,126000,68000,251000,322000,226000,176000,168000,250000,141000,
refl: 30000,30000,501000,48000,66000,59000,
symm: 234000,280000,
trans: 214000,222000,188000,174000,255000,213000,236000,244000,160000,173000,737000,
or_pos: 646000,654000,
implies: 320000,
parsing: 22343000,
aci_simp: 993000,1071000,1068000,
evaluate: 297000,
onepoint: 1257000,
qnt_join: 267000,
subproof: 2030000,
poly_simp: 3761000,
equiv_pos1: 244000,273000,
equiv_pos2: 180000,327000,329000,
reordering: 1099000,912000,800000,823000,
resolution: 146000,236000,263000,270000,259000,256000,321000,307000,266000,365000,291000,623000,583000,599000,394000,
contraction: 455000,
forall_inst: 859000,895000,899000,1848000,1323000,
implies_neg1: 389000,
implies_neg2: 429000,
__local_input: 144000,
qnt_rm_unused: 375000,1266000,
__normalized_input: 14063000,13703000,8331000,4047000,2490000,2647000,1161000,
rare_rewrite_eq-refl: 92000,
rare_rewrite_or-not-refl: 6498000,
rare_rewrite_bool-impl-elim: 6775000,22134000,
rare_rewrite_bool-and-de-morgan: 6284000,

