rule,count,total,mean,min,first_quartile,median,third_quartile,max
__normalized_input,28,2179386000,77835214.28571428,2514000,40892000,76946500,113913750,149750000
resolution,370,619757000,1675018.9189189188,581000,859750,1005000,1416750,38025000
rare_rewrite_bool-impl-elim,25,443287000,17731480,16722000,16944000,17349000,17816000,21275000
parsing,1,343893000,343893000,343893000,343893000,343893000,343893000,343893000
poly_simp,45,276306000,6140133.333333333,4730000,4938000,5281000,7391000,11249000
reordering,65,248996000,3830707.6923076925,774000,1251000,1556000,2359000,26985000
cong,370,194087000,524559.4594594594,158000,264250,315000,571750,8648000
forall_inst,68,177839000,2615279.411764706,2053000,2343500,2532000,2813500,3735000
contraction,47,164632000,3502808.510638298,811000,1358000,1506000,4115000,39046000
trans,157,159285000,1014554.1401273885,434000,744000,843000,1124000,10593000
subproof,33,152505000,4621363.636363637,3224000,3566000,4579000,5359000,7376000
and_pos,56,131081000,2340732.1428571427,640000,1955500,2174000,2714750,4000000
bind,128,118133000,922914.0625,564000,800000,852000,984000,1490000
rare_rewrite_bool-eq-false,5,115318000,23063600,16552000,18459000,18493000,21115000,40699000
poly_simp_rel,24,103512000,4313000,3275000,3453500,3557000,4576250,11643000
equiv_pos2,117,93921000,802743.5897435897,159000,381000,485000,839000,4928000
implies_neg1,33,72039000,2183000,681000,1142000,1272000,2498000,7218000
or_neg,27,70591000,2614481.4814814813,694000,849500,2532000,2660000,21323000
rare_rewrite_ite-eq,3,67977000,22659000,22225000,22445500,22666000,22876000,23086000
implies_neg2,33,61696000,1869575.7575757576,677000,1242000,1323000,2400000,5274000
rare_rewrite_eq-symm,83,47098000,567445.7831325302,382000,473000,516000,646500,1206000
implies,32,46416000,1450500,590000,930500,981500,1990750,4067000
or_pos,29,34611000,1193482.7586206896,768000,994000,1041000,1198000,2379000
rare_rewrite_arith-leq-norm,2,33863000,16931500,16497000,16714250,16931500,17148750,17366000
rare_rewrite_arith-elim-leq,2,33016000,16508000,16446000,16477000,16508000,16539000,16570000
symm,47,32525000,692021.2765957447,377000,478000,671000,807500,1406000
refl,122,25266000,207098.3606557377,58000,69250,144500,273750,1011000
equiv_simplify,15,24755000,1650333.3333333333,824000,1044500,1400000,1526500,3418000
__local_input,77,23194000,301220.7792207792,127000,189000,236000,449000,581000
rare_rewrite_bool-or-and-distrib,1,17268000,17268000,17268000,17268000,17268000,17268000,17268000
rare_rewrite_or-not-refl,1,17144000,17144000,17144000,17144000,17144000,17144000,17144000
equiv1,10,16841000,1684100,672000,1058000,1197500,2690250,2986000
rare_rewrite_bool-implies-de-morgan,1,16712000,16712000,16712000,16712000,16712000,16712000,16712000
aci_simp,5,14786000,2957200,2758000,2760000,2995000,3107000,3166000
equiv2,9,12533000,1392555.5555555555,611000,882000,1114000,2311000,2320000
and_intro,5,10974000,2194800,1309000,2005000,2094000,2706000,2860000
and_neg,4,9538000,2384500,1186000,2100250,2451500,2735750,3449000
rare_rewrite_bool-double-not-elim,6,6869000,1144833.3333333333,461000,630750,855000,1065000,3007000
rare_rewrite_eq-refl,7,6501000,928714.2857142857,371000,379000,389000,1642500,1698000
qnt_rm_unused,2,5281000,2640500,1191000,1915750,2640500,3365250,4090000
ite2,3,4526000,1508666.6666666667,1494000,1495500,1497000,1516000,1535000
sko_forall,1,4292000,4292000,4292000,4292000,4292000,4292000,4292000
onepoint,1,3095000,3095000,3095000,3095000,3095000,3095000,3095000
not_and,1,2864000,2864000,2864000,2864000,2864000,2864000,2864000
not_not,3,2701000,900333.3333333334,741000,841500,942000,980000,1018000
equiv_pos1,5,2590000,518000,142000,519000,524000,582000,823000
implies_simplify,1,2261000,2261000,2261000,2261000,2261000,2261000,2261000
evaluate,3,2013000,671000,651000,665500,680000,681000,682000
miniscope_distribute,1,1767000,1767000,1767000,1767000,1767000,1767000,1767000
true,3,925000,308333.3333333333,302000,303000,304000,311500,319000
qnt_join,1,850000,850000,850000,850000,850000,850000,850000
and,1,545000,545000,545000,545000,545000,545000,545000
choice,1,190000,190000,190000,190000,190000,190000,190000
