rule,count,total,mean,min,first_quartile,median,third_quartile,max
__normalized_input,16365,64785446000,3958780.690498014,562000,1055000,1967000,4910000,20441000
rare_rewrite_bool-and-de-morgan,7422,56230369000,7576174.75074104,5768000,6192000,6624000,7606750,13115000
rare_rewrite_bool-impl-elim,7051,54405319000,7715972.06070061,5965000,6324000,6687000,7675500,13100000
parsing,2611,41750093000,15990077.747989276,190000,2645000,7690000,20614000,95806000
resolution,100734,37338038000,370659.7375265551,184000,252000,327000,442000,1003000
poly_simp,8988,22715932000,2527362.2607921674,1595000,1847750,2295000,3021000,5388000
trans,57851,17381735000,300456.9497502204,126000,196000,261000,367000,760000
rare_rewrite_arith-elim-lt,2115,15792450000,7466879.432624114,5698000,6108000,6547000,7684000,13543000
forall_inst,15955,15656570000,981295.5186461924,695000,790500,880000,1092000,1707000
aci_simp,9717,13451084000,1384283.6266337347,967000,1080000,1203000,1594000,2507000
subproof,8434,13369830000,1585230.0213421865,1066000,1195000,1387000,1940750,3099000
cong,89116,13359347000,149909.6346335114,53000,85000,124000,189000,456000
rare_rewrite_arith-elim-leq,1467,11059129000,7538601.908657123,5736000,6144000,6528000,7636500,12920000
bind,28278,9785475000,346045.5124124761,175000,245000,310000,413000,773000
rare_rewrite_bool-impl-false1,1167,8860313000,7592384.747215081,5738000,6262000,6755000,7821000,13248000
reordering,16070,8733272000,543451.8979464842,208000,300000,422000,640000,2397000
rare_rewrite_or-not-refl,1034,8175260000,7906441.005802708,6085000,6479000,6882000,8046500,13630000
contraction,14630,8038755000,549470.6083390294,208000,317000,440000,659000,1977000
and_pos,13732,7643963000,556653.291581707,131000,234000,387000,707000,2934000
equiv_pos2,31692,6600952000,208284.48819891457,45000,113000,171000,270000,660000
poly_simp_rel,5055,6292283000,1244764.193867458,946000,1034000,1113000,1284500,2185000
rare_rewrite_bool-eq-false,785,6012587000,7659346.496815287,5744000,6106000,6544000,7776000,13655000
la_generic,384,4402116000,11463843.75,4735000,7428250,9949500,14183000,25762000
implies_neg1,8447,3998525000,473366.2838877708,178000,284000,391000,567000,1542000
or_neg,11213,3949596000,352233.65736199054,165000,220000,297000,422000,1080000
implies_neg2,8449,3720901000,440395.43141200143,162000,265000,370000,541000,1304000
rare_rewrite_bool-or-de-morgan,468,3501266000,7481337.606837607,5783000,6268750,6646500,7642250,13384000
rare_rewrite_ite-not-cond,485,3475880000,7166762.886597938,5566000,6073000,6492000,7222000,13640000
rare_rewrite_eq-symm,16608,3011891000,181351.81840077072,97000,129000,160000,219000,403000
rare_rewrite_bool-eq-true,382,2904403000,7603149.214659686,5903000,6215500,6675000,7594500,12941000
implies,8228,2743107000,333386.8497812348,143000,211000,282000,403000,958000
symm,12882,2562190000,198896.910417637,88000,122000,172000,247000,523000
rare_rewrite_ite-eq,328,2562006000,7810993.902439024,6137000,6622000,7015500,7955500,15644000
or_pos,5780,1964269000,339838.9273356401,201000,250000,307000,412000,675000
qnt_rm_unused,1579,1860021000,1177974.03419886,272000,463500,897000,1544500,4295000
equiv_simplify,5630,1836312000,326165.54174067493,176000,220000,279000,396000,781000
refl,33797,1811815000,53608.752256117405,19000,29000,41000,66000,217000
sko_forall,953,1780144000,1867937.0409233999,990000,1202000,1611000,2245000,5485000
onepoint,1035,1720311000,1662136.2318840579,991000,1159000,1460000,1915500,4397000
hole,2,1719715000,859857500,787638000,823747750,859857500,895967250,932077000
rare_rewrite_bool-or-and-distrib,220,1650685000,7503113.636363637,6040000,6368500,6661000,7185750,12783000
rare_rewrite_arith-elim-gt,199,1526122000,7668954.773869347,5951000,6274500,6689000,7642500,12741000
__local_input,17831,1505361000,84423.81246144355,28000,44000,72000,116000,214000
rare_rewrite_bool-double-not-elim,6143,1198136000,195040.859514895,103000,133000,170000,242000,455000
evaluate,4057,1192402000,293912.2504313532,179000,233000,273000,343000,516000
equiv1,3934,1171390000,297760.5490594814,104000,159000,239000,377000,1016000
equiv2,3372,772446000,229076.512455516,107000,145000,197000,281000,594000
rare_rewrite_arith-geq-tighten,106,702562000,6627943.396226415,5401000,5842750,6132500,6462250,11597000
rare_rewrite_bool-implies-de-morgan,90,653667000,7262966.666666667,5592000,6016750,6448000,6916500,12673000
and_intro,2061,631806000,306553.12954876275,112000,179000,244000,375000,1004000
implies_simplify,1056,600488000,568643.9393939395,208000,319750,471500,711500,1653000
