1; Draft.Scratch_smt_check_7_15716; 2026-04-10 13:43:46.407;
and: 102000,97000,178000,
cong: 129000,123000,81000,255000,123000,126000,72000,186000,104000,64000,91000,162000,222000,214000,121000,329000,161000,102000,153000,267000,1023000,
refl: 27000,43000,168000,155000,89000,175000,
symm: 123000,181000,113000,156000,99000,258000,208000,297000,156000,457000,
trans: 110000,231000,186000,243000,257000,366000,320000,451000,458000,
equiv1: 414000,444000,
equiv2: 228000,266000,550000,
or_neg: 403000,391000,372000,403000,418000,
and_pos: 296000,314000,1024000,958000,918000,1041000,1033000,
implies: 197000,1293000,
not_and: 397000,
not_not: 199000,332000,
parsing: 38861000,
evaluate: 292000,
subproof: 1079000,1170000,3140000,
and_intro: 513000,
equiv_pos2: 144000,272000,139000,19668000,53000,300000,342000,1356000,
reordering: 949000,6027000,
resolution: 239000,276000,192000,158000,172000,294000,341000,325000,209000,202000,934000,2854000,412000,268000,359000,295000,509000,137000,187000,203000,228000,193000,254000,317000,212000,163000,225000,1590000,1256000,3954000,324000,406000,332000,442000,518000,330000,281000,352000,358000,
contraction: 298000,1248000,371000,391000,1833000,2369000,
forall_inst: 758000,695000,1111000,853000,798000,780000,668000,783000,1417000,1343000,1421000,1472000,
implies_neg1: 267000,881000,2007000,
implies_neg2: 276000,264000,1662000,
__local_input: 47000,83000,86000,78000,65000,46000,77000,97000,
equiv_simplify: 312000,359000,659000,603000,
implies_simplify: 510000,
__normalized_input: 1788000,1626000,4328000,990000,981000,
rare_rewrite_eq-symm: 206000,241000,452000,
rare_rewrite_bool-eq-false: 6385000,8727000,11707000,11694000,
rare_rewrite_bool-double-not-elim: 514000,

