1; Draft.Scratch_smt_check_7_13718; 2026-04-10 13:43:45.339;
and: 54000,52000,59000,68000,
bind: 494000,907000,391000,356000,363000,343000,
cong: 298000,191000,180000,195000,440000,455000,177000,177000,
refl: 49000,80000,39000,44000,146000,
trans: 411000,351000,366000,302000,277000,256000,257000,553000,358000,319000,
equiv1: 358000,
or_pos: 742000,
and_pos: 165000,
parsing: 51728000,
aci_simp: 1475000,1162000,1787000,2583000,1912000,
equiv_pos2: 730000,265000,
reordering: 255000,1229000,
resolution: 382000,567000,382000,279000,398000,309000,
forall_inst: 1743000,
__normalized_input: 2212000,966000,729000,717000,788000,
rare_rewrite_bool-impl-elim: 12531000,11355000,11651000,
rare_rewrite_bool-and-de-morgan: 6149000,11486000,11617000,11928000,

