1; Draft.Scratch_smt_check_7_32452; 2026-04-10 13:51:49.536;
and: 269000,135000,137000,168000,
bind: 560000,477000,620000,599000,
cong: 170000,277000,180000,92000,265000,252000,228000,271000,150000,117000,81000,75000,72000,101000,127000,89000,75000,78000,69000,
refl: 89000,33000,22000,16000,20000,19000,
symm: 345000,139000,
false: 21000,
trans: 414000,849000,474000,497000,577000,469000,519000,
equiv2: 487000,511000,
or_pos: 559000,235000,343000,402000,
not_not: 344000,
parsing: 4333000,
aci_simp: 2237000,
evaluate: 296000,
equiv_pos2: 242000,383000,93000,144000,249000,275000,39000,
reordering: 699000,305000,527000,651000,
resolution: 301000,398000,605000,559000,681000,577000,561000,743000,658000,438000,689000,452000,421000,494000,581000,393000,353000,447000,510000,
forall_inst: 1904000,1814000,1599000,885000,
equiv_simplify: 612000,611000,
__normalized_input: 4003000,3528000,2068000,2029000,1183000,718000,1061000,
rare_rewrite_eq-symm: 342000,460000,515000,
rare_rewrite_bool-impl-elim: 12948000,13532000,7875000,
rare_rewrite_bool-and-de-morgan: 12639000,

