1; Draft.Scratch_smt_check_7_14511; 2026-04-10 13:45:32.836;
cong: 162000,239000,126000,
symm: 412000,
trans: 288000,313000,
and_neg: 929000,
and_pos: 870000,893000,899000,1292000,
implies: 974000,
parsing: 4682000,
subproof: 2721000,
reordering: 1428000,4271000,
resolution: 431000,411000,295000,315000,308000,1203000,1209000,901000,2783000,408000,312000,286000,339000,
contraction: 1430000,1676000,
forall_inst: 1520000,1355000,1544000,1305000,1769000,1289000,1528000,1377000,
implies_neg1: 1680000,
implies_neg2: 1399000,
__local_input: 68000,67000,63000,137000,
__normalized_input: 1355000,1306000,1136000,1347000,

