1; Draft.Scratch_smt_check_7_3036; 2026-04-10 13:45:40.282;
cong: 162000,162000,246000,246000,127000,
symm: 212000,201000,270000,
false: 18000,
trans: 203000,232000,220000,
equiv1: 321000,270000,
equiv2: 245000,227000,433000,409000,
and_neg: 403000,
not_not: 294000,
parsing: 6163000,
evaluate: 342000,
equiv_pos2: 329000,60000,
reordering: 705000,1190000,
resolution: 160000,236000,319000,390000,452000,351000,284000,287000,269000,293000,348000,310000,304000,497000,
forall_inst: 1857000,1426000,1438000,
equiv_simplify: 445000,630000,361000,401000,624000,533000,
__normalized_input: 6119000,7459000,11124000,1785000,1139000,

