1; Draft.Scratch_smt_check_7_2529; 2026-04-10 13:50:11.493;
and: 247000,119000,135000,
bind: 421000,471000,436000,409000,553000,467000,374000,317000,258000,298000,258000,248000,
cong: 215000,226000,356000,234000,218000,80000,71000,84000,51000,58000,92000,79000,90000,56000,66000,87000,166000,68000,142000,
refl: 52000,51000,76000,17000,19000,43000,32000,38000,
symm: 101000,116000,115000,135000,
trans: 423000,420000,129000,
choice: 62000,
equiv1: 197000,
equiv2: 114000,144000,
or_neg: 225000,237000,182000,172000,179000,
or_pos: 386000,274000,217000,292000,
and_pos: 181000,157000,159000,157000,156000,163000,
implies: 410000,176000,204000,
not_and: 215000,
not_not: 138000,
parsing: 14351000,
evaluate: 237000,
subproof: 2808000,1159000,1141000,1139000,
and_intro: 178000,
equiv_neg1: 34000,
equiv_neg2: 34000,
equiv_pos1: 60000,56000,
equiv_pos2: 193000,326000,294000,270000,59000,123000,167000,61000,73000,135000,101000,30000,107000,119000,
reordering: 513000,269000,284000,228000,297000,316000,337000,407000,253000,465000,250000,
resolution: 388000,347000,398000,531000,364000,498000,559000,550000,716000,704000,472000,538000,208000,429000,420000,209000,278000,223000,314000,355000,339000,289000,312000,285000,413000,364000,209000,218000,248000,253000,559000,178000,179000,209000,182000,202000,244000,286000,316000,300000,600000,223000,238000,297000,
sko_forall: 1008000,
contraction: 642000,288000,255000,302000,211000,240000,295000,289000,
forall_inst: 1378000,1399000,798000,992000,780000,792000,
implies_neg1: 546000,195000,234000,272000,
implies_neg2: 516000,197000,166000,264000,
__local_input: 201000,101000,31000,56000,53000,29000,57000,51000,
equiv_simplify: 210000,198000,
implies_simplify: 273000,
__normalized_input: 9211000,5094000,4223000,3849000,3978000,839000,686000,
rare_rewrite_eq-symm: 254000,265000,270000,
rare_rewrite_bool-impl-elim: 11316000,11426000,11258000,6132000,6347000,
rare_rewrite_bool-double-not-elim: 183000,142000,

