1; Draft.Scratch_smt_check_7_6237; 2026-04-10 13:44:55.849;
and: 109000,99000,142000,
bind: 242000,619000,197000,
cong: 127000,239000,171000,170000,207000,101000,136000,
refl: 41000,43000,208000,29000,
symm: 107000,
false: 13000,
trans: 116000,128000,150000,435000,328000,309000,294000,349000,251000,187000,
equiv2: 134000,127000,
or_pos: 576000,406000,
implies: 208000,
not_not: 152000,
parsing: 28613000,
aci_simp: 1047000,2067000,1813000,
evaluate: 337000,
subproof: 1877000,
equiv_pos2: 295000,431000,282000,142000,62000,
reordering: 802000,529000,
resolution: 100000,139000,135000,221000,258000,288000,558000,693000,467000,300000,421000,418000,460000,299000,326000,227000,330000,256000,
contraction: 381000,
forall_inst: 1254000,1411000,1252000,4657000,
implies_neg1: 256000,
implies_neg2: 254000,
__local_input: 3627000,
equiv_simplify: 268000,250000,
__normalized_input: 9923000,1415000,1356000,6376000,1068000,1034000,11274000,837000,825000,1050000,
rare_rewrite_eq-symm: 190000,148000,
rare_rewrite_bool-impl-elim: 11431000,16981000,
rare_rewrite_bool-and-de-morgan: 23581000,11499000,11080000,11468000,

