1; Draft.Scratch_smt_check_7_30699; 2026-04-10 13:47:03.675;
bind: 414000,412000,
cong: 190000,186000,
refl: 49000,48000,
trans: 249000,295000,297000,269000,
or_pos: 376000,
implies: 320000,
parsing: 3542000,
aci_simp: 1780000,1807000,
subproof: 2774000,
equiv_pos2: 444000,329000,
reordering: 494000,
resolution: 431000,513000,432000,608000,672000,438000,430000,
contraction: 547000,
forall_inst: 1283000,
implies_neg1: 452000,
implies_neg2: 418000,
__local_input: 108000,
__normalized_input: 6943000,849000,847000,945000,
rare_rewrite_bool-impl-elim: 10643000,10940000,
rare_rewrite_bool-and-de-morgan: 10593000,10588000,

