1; Draft.Scratch_smt_check_7_21858; 2026-04-10 13:44:04.178;
bind: 305000,368000,543000,526000,346000,
cong: 125000,197000,119000,202000,88000,128000,131000,286000,206000,227000,101000,134000,144000,3944000,348000,205000,
refl: 71000,26000,30000,37000,62000,30000,44000,
trans: 257000,284000,437000,216000,
equiv1: 244000,
equiv2: 316000,
or_pos: 348000,
implies: 259000,
not_not: 292000,
parsing: 20545000,
not_symm: 127000,
subproof: 2364000,
equiv_pos1: 157000,76000,
equiv_pos2: 221000,248000,125000,307000,252000,363000,
reordering: 681000,556000,354000,
resolution: 233000,428000,301000,314000,343000,434000,268000,291000,433000,342000,449000,460000,316000,545000,452000,607000,505000,308000,421000,
contraction: 487000,
forall_inst: 1442000,1675000,1505000,1289000,
implies_neg1: 375000,
implies_neg2: 369000,
__local_input: 75000,
equiv_simplify: 491000,412000,
__normalized_input: 5128000,1628000,1696000,1336000,1238000,934000,1176000,
rare_rewrite_eq-symm: 115000,499000,130000,150000,153000,249000,
rare_rewrite_bool-impl-elim: 12632000,
rare_rewrite_bool-double-not-elim: 198000,

