1; Draft.Scratch_smt_check_7_8963; 2026-04-10 13:49:20.272;
bind: 281000,375000,402000,371000,342000,
cong: 128000,125000,130000,144000,178000,164000,157000,
refl: 94000,
trans: 235000,283000,327000,348000,302000,
choice: 70000,
equiv1: 266000,
or_neg: 204000,218000,208000,
or_pos: 346000,
parsing: 3792000,
equiv_pos2: 111000,128000,124000,146000,254000,
reordering: 253000,487000,
resolution: 231000,206000,348000,333000,341000,337000,248000,367000,325000,401000,
sko_forall: 1187000,
contraction: 297000,
forall_inst: 927000,
connective_def: 295000,367000,361000,
__normalized_input: 1038000,858000,1019000,
rare_rewrite_bool-impl-elim: 6989000,
rare_rewrite_bool-and-de-morgan: 6740000,7335000,6605000,
rare_rewrite_bool-double-not-elim: 166000,299000,

